client_id,district_id,sex,age,age_category,no. of inhabitants,ratio of urban inhabitants,average salary,crime_increase,unemployment_increase,crime_avg,unemployment_avg
36,7,f,21,18-25,94725,63.40,9920,5.88,0.61,48.22,2.56
37,7,m,29,25-40,94725,63.40,9920,5.88,0.61,48.22,2.56
38,36,f,26,25-40,159617,85.20,9198,2.11,0.95,37.36,3.81
39,68,m,31,25-40,228848,57.20,9893,1.15,0.63,25.15,4.40
40,5,f,42,40-50,95616,51.40,9307,4.43,0.58,29.58,4.14
41,22,m,31,25-40,58400,52.40,8620,0.48,0.15,18.89,1.18
42,68,m,64,25-50,228848,57.20,9893,1.15,0.63,25.15,4.40
43,75,m,79,>65,138032,64.60,8819,3.20,0.28,31.04,5.52
44,38,f,22,18-25,85852,59.80,8965,1.97,1.15,31.89,7.66
45,20,m,47,40-50,70646,58.40,8547,-0.30,0.99,21.98,3.15
46,19,f,59,25-50,51428,52.70,8402,1.94,0.85,20.40,3.55
47,76,m,65,25-50,127369,51.20,8369,-7.29,1.15,25.69,5.30
48,16,m,59,25-50,93931,56.90,8427,0.42,0.42,20.16,1.33
49,72,f,40,25-40,226122,62.60,8994,-2.05,0.99,41.75,4.29
50,39,f,21,18-25,119895,89.90,10446,-1.70,2.06,40.41,8.37
51,36,f,20,18-25,159617,85.20,9198,2.11,0.95,37.36,3.81
52,32,m,75,>65,105058,81.00,9272,1.57,0.42,42.10,3.01
53,64,m,22,18-25,197099,74.70,9624,-1.11,0.71,22.19,1.96
55,45,f,51,25-50,77917,53.50,8390,0.54,0.61,26.96,2.58
56,21,m,39,25-40,103347,67.00,9104,0.53,0.56,22.51,1.79
57,21,f,38,25-40,103347,67.00,9104,0.53,0.56,22.51,1.79
58,1,f,72,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
59,1,m,42,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
60,67,m,19,18-25,106054,63.10,8110,-1.56,0.78,29.81,6.16
61,16,f,51,25-50,93931,56.90,8427,0.42,0.42,20.16,1.33
62,77,m,67,>65,148545,53.50,8909,0.88,1.55,23.73,4.79
63,4,m,40,25-40,149893,67.40,9753,4.32,0.41,37.15,4.84
64,20,m,73,>65,70646,58.40,8547,-0.30,0.99,21.98,3.15
65,50,f,56,25-50,102609,52.00,8187,0.11,0.62,20.74,5.14
66,1,f,48,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
67,29,f,67,>65,45714,55.60,8843,1.53,0.78,18.66,3.21
68,43,m,53,25-50,161854,76.30,9425,-1.20,0.78,24.64,2.11
70,70,m,74,>65,285387,89.90,10177,0.81,1.12,35.02,7.19
71,70,f,72,>65,285387,89.90,10177,0.81,1.12,35.02,7.19
72,47,m,76,>65,162580,72.80,9538,-4.11,0.30,35.33,1.66
73,22,m,75,>65,58400,52.40,8620,0.48,0.15,18.89,1.18
74,22,f,74,>65,58400,52.40,8620,0.48,0.15,18.89,1.18
75,64,f,22,18-25,197099,74.70,9624,-1.11,0.71,22.19,1.96
76,36,f,32,25-40,159617,85.20,9198,2.11,0.95,37.36,3.81
77,1,f,43,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
78,16,f,55,25-50,93931,56.90,8427,0.42,0.42,20.16,1.33
79,37,f,30,25-40,114006,62.30,9065,0.17,0.93,36.46,4.92
80,64,f,20,18-25,197099,74.70,9624,-1.11,0.71,22.19,1.96
81,8,m,23,18-25,112065,69.40,11277,-1.71,0.19,45.36,1.34
82,8,f,20,18-25,112065,69.40,11277,-1.71,0.19,45.36,1.34
83,1,f,21,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
84,1,m,20,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
85,1,m,38,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
86,1,f,30,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
87,72,f,53,25-50,226122,62.60,8994,-2.05,0.99,41.75,4.29
89,1,f,48,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
90,52,m,24,18-25,139012,61.90,8363,1.69,0.97,19.29,3.00
91,63,m,59,25-50,86513,50.50,8288,-1.18,0.73,17.47,4.15
92,74,f,33,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
93,3,m,74,>65,75232,41.70,8980,-0.15,0.26,37.46,2.08
94,43,m,52,25-50,161854,76.30,9425,-1.20,0.78,24.64,2.11
95,43,f,47,40-50,161854,76.30,9425,-1.20,0.78,24.64,2.11
96,74,m,27,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
97,26,m,34,25-40,170449,100.00,10787,1.29,0.45,36.09,2.87
98,33,f,26,25-40,133777,84.70,8705,1.56,1.86,35.54,6.68
99,33,m,26,25-40,133777,84.70,8705,1.56,1.86,35.54,6.68
100,44,f,57,25-50,105606,53.00,8254,1.51,0.97,21.26,3.27
101,68,m,56,25-50,228848,57.20,9893,1.15,0.63,25.15,4.40
102,74,f,41,40-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
103,74,m,44,40-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
105,31,m,19,18-25,51313,59.20,8930,2.42,0.68,27.09,3.86
106,68,f,31,25-40,228848,57.20,9893,1.15,0.63,25.15,4.40
107,1,m,27,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
108,17,m,36,25-40,74062,61.40,8114,2.40,0.24,14.74,2.50
110,2,f,32,25-40,88884,46.70,8507,5.79,0.18,27.19,1.76
112,1,m,64,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
113,1,f,59,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
114,74,f,30,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
115,74,m,30,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
116,74,m,57,25-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
117,74,f,63,25-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
118,55,m,77,>65,157042,33.90,8743,1.50,0.55,24.05,2.16
119,55,f,77,>65,157042,33.90,8743,1.50,0.55,24.05,2.16
120,1,m,23,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
121,41,f,21,18-25,118650,85.60,9832,-8.21,1.16,50.21,3.90
122,35,f,36,25-40,88768,80.50,8867,2.66,0.19,39.45,1.11
123,11,m,30,25-40,75637,36.50,9622,0.71,0.14,46.30,0.52
124,44,m,32,25-40,105606,53.00,8254,1.51,0.97,21.26,3.27
125,37,m,63,25-50,114006,62.30,9065,0.17,0.93,36.46,4.92
126,37,f,70,>65,114006,62.30,9065,0.17,0.93,36.46,4.92
127,21,f,49,40-50,103347,67.00,9104,0.53,0.56,22.51,1.79
128,63,f,26,25-40,86513,50.50,8288,-1.18,0.73,17.47,4.15
129,64,f,52,25-50,197099,74.70,9624,-1.11,0.71,22.19,1.96
130,53,m,57,25-50,107911,50.90,8240,0.49,1.03,17.39,3.04
131,53,f,22,18-25,107911,50.90,8240,0.49,1.03,17.39,3.04
132,36,m,46,40-50,159617,85.20,9198,2.11,0.95,37.36,3.81
134,6,m,67,>65,77963,51.50,8546,6.16,1.07,36.94,3.48
135,6,f,61,25-50,77963,51.50,8546,6.16,1.07,36.94,3.48
136,55,f,78,>65,157042,33.90,8743,1.50,0.55,24.05,2.16
137,60,m,76,>65,110643,51.90,8441,3.37,1.03,18.67,3.97
138,54,f,27,25-40,387570,100.00,9897,-0.06,0.36,48.27,1.78
139,8,f,40,25-40,112065,69.40,11277,-1.71,0.19,45.36,1.34
140,8,m,38,25-40,112065,69.40,11277,-1.71,0.19,45.36,1.34
141,31,m,74,>65,51313,59.20,8930,2.42,0.68,27.09,3.86
142,68,m,62,25-50,228848,57.20,9893,1.15,0.63,25.15,4.40
143,27,m,21,18-25,67298,43.80,8561,1.46,0.64,16.02,0.97
144,65,m,41,40-50,114200,43.70,8403,4.91,-0.02,21.34,5.73
145,55,m,21,18-25,157042,33.90,8743,1.50,0.55,24.05,2.16
146,31,f,38,25-40,51313,59.20,8930,2.42,0.68,27.09,3.86
147,21,f,66,>65,103347,67.00,9104,0.53,0.56,22.51,1.79
148,21,m,59,25-50,103347,67.00,9104,0.53,0.56,22.51,1.79
149,55,m,51,25-50,157042,33.90,8743,1.50,0.55,24.05,2.16
150,2,f,19,18-25,88884,46.70,8507,5.79,0.18,27.19,1.76
151,51,f,28,25-40,121947,70.50,8541,2.81,0.46,30.07,2.74
152,29,f,54,25-50,45714,55.60,8843,1.53,0.78,18.66,3.21
153,13,f,18,18-25,53921,41.30,8598,5.16,0.49,32.20,3.01
154,74,m,66,>65,323870,100.00,10673,-1.34,0.69,57.32,5.10
155,74,f,60,25-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
156,54,f,69,>65,387570,100.00,9897,-0.06,0.36,48.27,1.78
157,52,f,56,25-50,139012,61.90,8363,1.69,0.97,19.29,3.00
158,40,f,54,25-50,128118,85.30,9317,-0.60,0.58,53.94,6.78
159,40,m,61,25-50,128118,85.30,9317,-0.60,0.58,53.94,6.78
160,64,f,57,25-50,197099,74.70,9624,-1.11,0.71,22.19,1.96
161,34,f,56,25-50,125236,87.70,9675,-1.06,1.25,41.97,7.05
162,65,m,58,25-50,114200,43.70,8403,4.91,-0.02,21.34,5.73
163,74,m,66,>65,323870,100.00,10673,-1.34,0.69,57.32,5.10
164,70,f,37,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
165,22,m,31,25-40,58400,52.40,8620,0.48,0.15,18.89,1.18
166,22,f,38,25-40,58400,52.40,8620,0.48,0.15,18.89,1.18
167,38,f,21,18-25,85852,59.80,8965,1.97,1.15,31.89,7.66
168,24,f,23,18-25,122603,80.00,8991,0.61,0.62,42.70,1.70
169,38,m,46,40-50,85852,59.80,8965,1.97,1.15,31.89,7.66
170,38,f,53,25-50,85852,59.80,8965,1.97,1.15,31.89,7.66
171,51,m,70,>65,121947,70.50,8541,2.81,0.46,30.07,2.74
172,51,f,64,25-50,121947,70.50,8541,2.81,0.46,30.07,2.74
173,21,f,81,>65,103347,67.00,9104,0.53,0.56,22.51,1.79
174,10,m,21,18-25,92084,46.70,10124,5.49,-0.02,44.12,0.55
175,31,m,39,25-40,51313,59.20,8930,2.42,0.68,27.09,3.86
176,4,m,70,>65,149893,67.40,9753,4.32,0.41,37.15,4.84
178,8,m,39,25-40,112065,69.40,11277,-1.71,0.19,45.36,1.34
179,43,m,19,18-25,161854,76.30,9425,-1.20,0.78,24.64,2.11
180,73,m,17,-18,182027,56.40,8746,0.43,0.41,24.14,3.54
181,76,m,32,25-40,127369,51.20,8369,-7.29,1.15,25.69,5.30
182,76,f,40,25-40,127369,51.20,8369,-7.29,1.15,25.69,5.30
183,1,f,21,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
184,1,m,27,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
185,77,m,45,40-50,148545,53.50,8909,0.88,1.55,23.73,4.79
186,46,f,38,25-40,112709,73.50,8369,-2.09,0.52,24.27,2.05
187,58,m,57,25-50,109164,63.60,8757,2.37,0.57,21.45,3.67
188,64,m,39,25-40,197099,74.70,9624,-1.11,0.71,22.19,1.96
189,11,m,80,>65,75637,36.50,9622,0.71,0.14,46.30,0.52
190,37,f,52,25-50,114006,62.30,9065,0.17,0.93,36.46,4.92
191,37,m,45,40-50,114006,62.30,9065,0.17,0.93,36.46,4.92
192,70,m,28,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
193,1,m,37,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
194,28,f,75,>65,72541,36.90,8594,-0.76,0.39,21.40,1.81
195,74,m,80,>65,323870,100.00,10673,-1.34,0.69,57.32,5.10
196,74,f,72,>65,323870,100.00,10673,-1.34,0.69,57.32,5.10
197,30,m,66,>65,94812,81.80,9650,-1.91,0.29,30.53,3.52
198,60,m,23,18-25,110643,51.90,8441,3.37,1.03,18.67,3.97
199,29,m,76,>65,45714,55.60,8843,1.53,0.78,18.66,3.21
200,29,f,71,>65,45714,55.60,8843,1.53,0.78,18.66,3.21
201,17,f,69,>65,74062,61.40,8114,2.40,0.24,14.74,2.50
202,29,f,23,18-25,45714,55.60,8843,1.53,0.78,18.66,3.21
203,31,m,37,25-40,51313,59.20,8930,2.42,0.68,27.09,3.86
204,31,f,32,25-40,51313,59.20,8930,2.42,0.68,27.09,3.86
205,4,f,57,25-50,149893,67.40,9753,4.32,0.41,37.15,4.84
206,59,f,36,25-40,108871,62.10,8444,-2.66,0.23,22.50,3.36
207,46,m,67,>65,112709,73.50,8369,-2.09,0.52,24.27,2.05
208,13,f,59,25-50,53921,41.30,8598,5.16,0.49,32.20,3.01
209,13,m,64,25-50,53921,41.30,8598,5.16,0.49,32.20,3.01
210,66,m,60,25-50,125832,48.30,8512,-1.14,0.61,17.28,3.81
211,66,f,54,25-50,125832,48.30,8512,-1.14,0.61,17.28,3.81
212,52,m,24,18-25,139012,61.90,8363,1.69,0.97,19.29,3.00
215,71,m,32,25-40,161227,69.70,8678,-2.39,-0.36,29.69,5.75
216,1,m,39,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
217,59,f,25,18-25,108871,62.10,8444,-2.66,0.23,22.50,3.36
218,1,f,19,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
219,60,f,35,25-40,110643,51.90,8441,3.37,1.03,18.67,3.97
221,21,f,22,18-25,103347,67.00,9104,0.53,0.56,22.51,1.79
222,47,f,27,25-40,162580,72.80,9538,-4.11,0.30,35.33,1.66
223,43,f,47,40-50,161854,76.30,9425,-1.20,0.78,24.64,2.11
224,77,m,44,40-50,148545,53.50,8909,0.88,1.55,23.73,4.79
225,32,m,63,25-50,105058,81.00,9272,1.57,0.42,42.10,3.01
226,1,m,57,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
227,52,f,73,>65,139012,61.90,8363,1.69,0.97,19.29,3.00
228,48,f,43,40-50,78955,59.00,9060,0.79,0.66,21.35,2.11
229,76,m,30,25-40,127369,51.20,8369,-7.29,1.15,25.69,5.30
230,74,f,32,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
231,41,m,58,25-50,118650,85.60,9832,-8.21,1.16,50.21,3.90
232,55,f,78,>65,157042,33.90,8743,1.50,0.55,24.05,2.16
233,69,f,41,40-50,42821,48.40,8173,0.00,0.00,31.71,7.01
234,69,m,44,40-50,42821,48.40,8173,0.00,0.00,31.71,7.01
235,44,f,56,25-50,105606,53.00,8254,1.51,0.97,21.26,3.27
236,70,m,38,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
237,70,f,30,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
238,6,f,38,25-40,77963,51.50,8546,6.16,1.07,36.94,3.48
239,1,f,25,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
240,34,f,70,>65,125236,87.70,9675,-1.06,1.25,41.97,7.05
241,70,m,40,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
242,17,f,38,25-40,74062,61.40,8114,2.40,0.24,14.74,2.50
243,63,m,45,40-50,86513,50.50,8288,-1.18,0.73,17.47,4.15
246,67,f,29,25-40,106054,63.10,8110,-1.56,0.78,29.81,6.16
247,1,m,42,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
248,61,f,30,25-40,117897,53.80,8814,-0.45,0.98,17.69,5.25
249,61,m,29,25-40,117897,53.80,8814,-0.45,0.98,17.69,5.25
250,8,f,20,18-25,112065,69.40,11277,-1.71,0.19,45.36,1.34
251,54,f,23,18-25,387570,100.00,9897,-0.06,0.36,48.27,1.78
252,37,f,30,25-40,114006,62.30,9065,0.17,0.93,36.46,4.92
253,48,f,52,25-50,78955,59.00,9060,0.79,0.66,21.35,2.11
254,28,m,36,25-40,72541,36.90,8594,-0.76,0.39,21.40,1.81
255,27,f,48,40-50,67298,43.80,8561,1.46,0.64,16.02,0.97
256,73,f,36,25-40,182027,56.40,8746,0.43,0.41,24.14,3.54
257,22,f,57,25-50,58400,52.40,8620,0.48,0.15,18.89,1.18
258,22,m,62,25-50,58400,52.40,8620,0.48,0.15,18.89,1.18
259,31,m,33,25-40,51313,59.20,8930,2.42,0.68,27.09,3.86
260,31,f,37,25-40,51313,59.20,8930,2.42,0.68,27.09,3.86
261,38,f,62,25-50,85852,59.80,8965,1.97,1.15,31.89,7.66
262,77,m,54,25-50,148545,53.50,8909,0.88,1.55,23.73,4.79
263,68,m,37,25-40,228848,57.20,9893,1.15,0.63,25.15,4.40
264,28,m,21,18-25,72541,36.90,8594,-0.76,0.39,21.40,1.81
265,72,f,66,>65,226122,62.60,8994,-2.05,0.99,41.75,4.29
266,19,f,32,25-40,51428,52.70,8402,1.94,0.85,20.40,3.55
267,37,m,32,25-40,114006,62.30,9065,0.17,0.93,36.46,4.92
268,39,f,17,-18,119895,89.90,10446,-1.70,2.06,40.41,8.37
269,15,f,76,>65,58796,51.90,9045,0.58,0.47,31.67,3.37
270,46,m,52,25-50,112709,73.50,8369,-2.09,0.52,24.27,2.05
271,46,f,54,25-50,112709,73.50,8369,-2.09,0.52,24.27,2.05
272,70,f,55,25-50,285387,89.90,10177,0.81,1.12,35.02,7.19
273,27,f,27,25-40,67298,43.80,8561,1.46,0.64,16.02,0.97
274,17,f,29,25-40,74062,61.40,8114,2.40,0.24,14.74,2.50
275,1,f,81,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
276,1,m,42,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
277,1,f,38,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
278,22,f,27,25-40,58400,52.40,8620,0.48,0.15,18.89,1.18
279,22,m,29,25-40,58400,52.40,8620,0.48,0.15,18.89,1.18
280,45,f,30,25-40,77917,53.50,8390,0.54,0.61,26.96,2.58
282,73,f,61,25-50,182027,56.40,8746,0.43,0.41,24.14,3.54
283,73,m,66,>65,182027,56.40,8746,0.43,0.41,24.14,3.54
284,10,m,25,18-25,92084,46.70,10124,5.49,-0.02,44.12,0.55
285,72,m,45,40-50,226122,62.60,8994,-2.05,0.99,41.75,4.29
286,72,f,47,40-50,226122,62.60,8994,-2.05,0.99,41.75,4.29
287,50,m,19,18-25,102609,52.00,8187,0.11,0.62,20.74,5.14
288,6,m,37,25-40,77963,51.50,8546,6.16,1.07,36.94,3.48
289,54,m,41,40-50,387570,100.00,9897,-0.06,0.36,48.27,1.78
290,72,m,40,25-40,226122,62.60,8994,-2.05,0.99,41.75,4.29
291,72,f,44,40-50,226122,62.60,8994,-2.05,0.99,41.75,4.29
292,15,f,41,40-50,58796,51.90,9045,0.58,0.47,31.67,3.37
293,69,m,56,25-50,42821,48.40,8173,0.00,0.00,31.71,7.01
294,58,m,31,25-40,109164,63.60,8757,2.37,0.57,21.45,3.67
295,12,m,60,25-50,107870,58.00,8754,0.59,0.48,35.56,4.07
296,65,m,25,18-25,114200,43.70,8403,4.91,-0.02,21.34,5.73
297,65,f,75,>65,114200,43.70,8403,4.91,-0.02,21.34,5.73
298,65,m,78,>65,114200,43.70,8403,4.91,-0.02,21.34,5.73
300,1,f,42,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
301,28,m,57,25-50,72541,36.90,8594,-0.76,0.39,21.40,1.81
302,56,m,28,25-40,124605,46.00,8772,2.44,0.29,24.12,4.84
303,74,m,53,25-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
304,19,f,65,25-50,51428,52.70,8402,1.94,0.85,20.40,3.55
305,46,m,61,25-50,112709,73.50,8369,-2.09,0.52,24.27,2.05
308,68,f,23,18-25,228848,57.20,9893,1.15,0.63,25.15,4.40
309,37,f,30,25-40,114006,62.30,9065,0.17,0.93,36.46,4.92
310,11,m,49,40-50,75637,36.50,9622,0.71,0.14,46.30,0.52
311,64,f,69,>65,197099,74.70,9624,-1.11,0.71,22.19,1.96
312,2,m,75,>65,88884,46.70,8507,5.79,0.18,27.19,1.76
313,24,f,57,25-50,122603,80.00,8991,0.61,0.62,42.70,1.70
314,24,m,54,25-50,122603,80.00,8991,0.61,0.62,42.70,1.70
315,54,m,32,25-40,387570,100.00,9897,-0.06,0.36,48.27,1.78
316,75,m,44,40-50,138032,64.60,8819,3.20,0.28,31.04,5.52
317,64,f,42,40-50,197099,74.70,9624,-1.11,0.71,22.19,1.96
318,15,f,56,25-50,58796,51.90,9045,0.58,0.47,31.67,3.37
319,19,f,70,>65,51428,52.70,8402,1.94,0.85,20.40,3.55
320,19,m,65,25-50,51428,52.70,8402,1.94,0.85,20.40,3.55
321,47,f,56,25-50,162580,72.80,9538,-4.11,0.30,35.33,1.66
322,38,m,66,>65,85852,59.80,8965,1.97,1.15,31.89,7.66
323,38,f,61,25-50,85852,59.80,8965,1.97,1.15,31.89,7.66
324,3,m,39,25-40,75232,41.70,8980,-0.15,0.26,37.46,2.08
325,3,m,39,25-40,75232,41.70,8980,-0.15,0.26,37.46,2.08
326,27,f,32,25-40,67298,43.80,8561,1.46,0.64,16.02,0.97
327,27,m,31,25-40,67298,43.80,8561,1.46,0.64,16.02,0.97
328,1,f,81,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
329,11,m,35,25-40,75637,36.50,9622,0.71,0.14,46.30,0.52
330,65,f,55,25-50,114200,43.70,8403,4.91,-0.02,21.34,5.73
331,1,m,57,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
332,29,m,21,18-25,45714,55.60,8843,1.53,0.78,18.66,3.21
333,38,m,28,25-40,85852,59.80,8965,1.97,1.15,31.89,7.66
334,32,m,30,25-40,105058,81.00,9272,1.57,0.42,42.10,3.01
335,73,f,32,25-40,182027,56.40,8746,0.43,0.41,24.14,3.54
336,39,f,35,25-40,119895,89.90,10446,-1.70,2.06,40.41,8.37
337,39,m,42,40-50,119895,89.90,10446,-1.70,2.06,40.41,8.37
338,8,f,48,40-50,112065,69.40,11277,-1.71,0.19,45.36,1.34
339,1,m,33,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
340,1,f,29,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
341,69,m,22,18-25,42821,48.40,8173,0.00,0.00,31.71,7.01
342,69,f,27,25-40,42821,48.40,8173,0.00,0.00,31.71,7.01
343,44,m,80,>65,105606,53.00,8254,1.51,0.97,21.26,3.27
344,54,f,36,25-40,387570,100.00,9897,-0.06,0.36,48.27,1.78
345,17,m,46,40-50,74062,61.40,8114,2.40,0.24,14.74,2.50
346,17,f,39,25-40,74062,61.40,8114,2.40,0.24,14.74,2.50
347,71,m,40,25-40,161227,69.70,8678,-2.39,-0.36,29.69,5.75
348,71,f,46,40-50,161227,69.70,8678,-2.39,-0.36,29.69,5.75
349,39,f,72,>65,119895,89.90,10446,-1.70,2.06,40.41,8.37
350,25,f,74,>65,88757,61.70,8554,4.46,0.21,22.76,2.58
351,1,m,26,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
352,56,m,59,25-50,124605,46.00,8772,2.44,0.29,24.12,4.84
353,7,m,34,25-40,94725,63.40,9920,5.88,0.61,48.22,2.56
354,49,f,77,>65,75685,60.80,8208,6.12,0.37,24.99,2.07
355,49,m,69,>65,75685,60.80,8208,6.12,0.37,24.99,2.07
356,1,f,20,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
357,1,m,20,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
358,7,f,40,25-40,94725,63.40,9920,5.88,0.61,48.22,2.56
359,66,m,29,25-40,125832,48.30,8512,-1.14,0.61,17.28,3.81
360,49,m,56,25-50,75685,60.80,8208,6.12,0.37,24.99,2.07
361,74,f,22,18-25,323870,100.00,10673,-1.34,0.69,57.32,5.10
362,35,f,49,40-50,88768,80.50,8867,2.66,0.19,39.45,1.11
363,35,m,57,25-50,88768,80.50,8867,2.66,0.19,39.45,1.11
364,54,f,57,25-50,387570,100.00,9897,-0.06,0.36,48.27,1.78
365,1,m,69,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
366,1,f,63,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
367,60,f,36,25-40,110643,51.90,8441,3.37,1.03,18.67,3.97
368,60,m,31,25-40,110643,51.90,8441,3.37,1.03,18.67,3.97
369,7,f,69,>65,94725,63.40,9920,5.88,0.61,48.22,2.56
370,71,f,43,40-50,161227,69.70,8678,-2.39,-0.36,29.69,5.75
371,4,m,57,25-50,149893,67.40,9753,4.32,0.41,37.15,4.84
372,34,m,67,>65,125236,87.70,9675,-1.06,1.25,41.97,7.05
373,16,m,63,25-50,93931,56.90,8427,0.42,0.42,20.16,1.33
374,26,m,32,25-40,170449,100.00,10787,1.29,0.45,36.09,2.87
375,61,f,30,25-40,117897,53.80,8814,-0.45,0.98,17.69,5.25
376,14,f,26,25-40,177686,74.80,10045,-1.74,0.29,36.30,1.56
378,50,m,21,18-25,102609,52.00,8187,0.11,0.62,20.74,5.14
379,50,f,16,-18,102609,52.00,8187,0.11,0.62,20.74,5.14
380,41,m,26,25-40,118650,85.60,9832,-8.21,1.16,50.21,3.90
381,73,f,22,18-25,182027,56.40,8746,0.43,0.41,24.14,3.54
382,73,m,21,18-25,182027,56.40,8746,0.43,0.41,24.14,3.54
