loan_id,account_id,amount,duration,payments,status,loan_date
6322,6510,76992,24,3208,,1997-05-06
6338,6592,390660,60,6511,,1997-08-24
6346,6649,100260,60,1671,,1997-05-22
6350,6678,294384,48,6133,,1997-07-09
6353,6686,116496,24,4854,,1997-12-25
6355,6699,127200,48,2650,,1997-09-24
6357,6706,64860,60,1081,,1998-07-12
6377,6792,17184,12,1432,,1997-03-17
6386,6856,124344,36,3454,,1997-04-30
6399,6902,49320,36,1370,,1997-12-21
6402,6922,139488,24,5812,,1998-12-06
6415,6950,475680,48,9910,,1997-02-12
6435,7045,288720,48,6015,,1997-06-16
6436,7049,495180,60,8253,,1998-05-22
6437,7052,63972,36,1777,,1997-11-09
6442,7082,194160,48,4045,,1998-02-08
6450,7099,234336,48,4882,,1998-06-10
6464,7156,49488,24,2062,,1998-04-16
6468,7176,203940,60,3399,,1997-11-30
6469,7180,99744,24,4156,,1998-11-17
6470,7181,49872,12,4156,,1998-05-17
6486,7240,152160,60,2536,,1998-01-15
6490,7262,73260,60,1221,,1997-02-10
6495,7274,49044,12,4087,,1998-03-12
6502,7424,30276,12,2523,,1997-12-08
6508,7437,110736,48,2307,,1998-04-19
6534,7542,590820,60,9847,,1997-10-19
6539,7559,12792,12,1066,,1998-07-11
6541,7565,153504,48,3198,,1997-08-17
6544,7594,130464,48,2718,,1997-12-11
6552,7632,170448,48,3551,,1998-01-08
6553,7636,42384,12,3532,,1998-01-26
6554,7637,390096,48,8127,,1997-01-29
6562,7674,94488,24,3937,,1997-03-21
6568,7713,220440,60,3674,,1998-02-25
6569,7721,45456,12,3788,,1998-05-28
6571,7733,140064,24,5836,,1998-05-12
6574,7745,77544,36,2154,,1997-12-20
6605,7890,79344,48,1653,,1997-10-14
6607,7894,153144,36,4254,,1997-10-21
6612,7907,97392,12,8116,,1997-08-31
6621,7957,42900,12,3575,,1997-06-14
6625,7966,473280,60,7888,,1997-09-07
6632,7990,144960,48,3020,,1998-04-23
6633,7997,160656,24,6694,,1998-02-05
6641,8026,128268,36,3563,,1997-09-09
6643,8038,35856,24,1494,,1998-01-18
6655,8085,260400,60,4340,,1997-10-17
6660,8094,220428,36,6123,,1997-05-09
6665,8114,99300,60,1655,,1997-08-15
6675,8158,238716,36,6631,,1997-11-01
6677,8169,97980,60,1633,,1997-08-12
6682,8225,36204,12,3017,,1998-03-30
6688,8268,8616,24,359,,1997-09-26
6695,8320,309660,60,5161,,1997-06-04
6705,8381,333648,48,6951,,1997-07-25
6727,8505,42840,12,3570,,1997-12-10
6730,8523,93036,12,7753,,1998-02-15
6746,8639,185640,60,3094,,1998-06-06
6748,8645,240900,60,4015,,1998-12-08
6753,8688,67980,12,5665,,1997-03-20
6755,8713,170700,60,2845,,1998-07-24
6758,8742,33144,12,2762,,1997-07-29
6763,8772,88272,48,1839,,1997-06-19
6766,8784,74352,24,3098,,1998-04-28
6790,8919,76104,24,3171,,1998-06-08
6791,8926,566640,60,9444,,1998-01-23
6793,8931,186300,60,3105,,1997-01-30
6819,9031,50112,24,2088,,1997-05-03
6821,9037,321936,48,6707,,1998-09-15
6824,9052,71976,24,2999,,1997-02-26
6851,9138,272220,60,4537,,1997-06-03
6852,9140,16032,48,334,,1998-11-10
6855,9153,52236,36,1451,,1998-03-01
6856,9156,163332,36,4537,,1998-12-01
6857,9159,69600,48,1450,,1998-06-08
6859,9167,272220,60,4537,,1998-03-07
6861,9179,215040,60,3584,,1998-02-28
6866,9201,122472,24,5103,,1998-02-05
6868,9208,82128,24,3422,,1998-10-12
6871,9225,164256,48,3422,,1997-04-13
6872,9227,191580,60,3193,,1998-04-29
6875,9235,83280,48,1735,,1997-03-13
6877,9241,285240,60,4754,,1997-06-19
6878,9242,23184,12,1932,,1997-01-24
6887,9263,39576,12,3298,,1997-05-08
6908,9353,188616,24,7859,,1997-06-08
6913,9377,99936,24,4164,,1997-04-29
6922,9424,83628,36,2323,,1997-08-26
6923,9433,44640,24,1860,,1998-10-05
6926,9455,374760,60,6246,,1998-02-07
6932,9491,225504,48,4698,,1998-06-25
6934,9494,116832,12,9736,,1997-02-09
6938,9504,341280,60,5688,,1997-03-10
6942,9513,18324,12,1527,,1997-07-16
6948,9560,157068,36,4363,,1998-03-15
6956,9631,59448,24,2477,,1997-11-09
6959,9633,59448,24,2477,,1997-06-30
6962,9646,279072,48,5814,,1998-04-02
6969,9673,88200,36,2450,,1998-09-12
6970,9677,31620,60,527,,1997-06-17
6984,9730,116040,60,1934,,1997-08-15
7001,9859,300600,60,5010,,1997-08-10
7035,10005,210744,36,5854,,1998-07-29
7037,10022,218064,48,4543,,1998-01-03
7046,10049,91632,12,7636,,1997-03-28
7049,10063,233424,36,6484,,1997-06-24
7050,10065,311232,48,6484,,1997-09-23
7051,10068,77808,12,6484,,1997-07-28
7067,10134,136368,24,5682,,1998-01-11
7072,10148,22104,12,1842,,1998-01-27
7085,10202,305424,48,6363,,1997-06-19
7087,10215,44304,24,1846,,1997-02-20
7088,10233,239160,60,3986,,1997-05-03
7091,10243,113436,36,3151,,1998-09-22
7096,10257,37812,12,3151,,1998-09-02
7100,10280,348120,60,5802,,1997-12-31
7110,10345,31260,12,2605,,1998-01-21
7115,10351,88704,48,1848,,1997-03-04
7119,10361,86880,12,7240,,1997-06-02
7122,10365,260640,36,7240,,1997-01-04
7129,10404,194280,60,3238,,1998-03-01
7139,10445,23412,12,1951,,1998-01-22
7147,10478,267600,48,5575,,1998-01-02
7151,10493,133800,24,5575,,1998-02-18
7164,10613,249792,48,5204,,1998-08-15
7167,10644,269964,36,7499,,1998-06-18
7168,10645,208332,36,5787,,1998-07-05
7171,10650,196224,48,4088,,1998-02-24
7172,10652,45720,12,3810,,1998-05-07
7181,10679,197808,24,8242,,1997-10-02
7187,10711,24180,60,403,,1997-12-24
7195,10774,339168,48,7066,,1998-04-23
7199,10789,45768,12,3814,,1997-12-09
7200,10799,31140,60,519,,1998-07-11
7201,10807,67464,12,5622,,1997-03-07
7202,10812,140688,48,2931,,1998-05-29
7209,10857,385560,60,6426,,1997-11-30
7219,10905,57120,48,1190,,1997-08-23
7221,10915,152460,60,2541,,1998-06-11
7230,10954,18720,60,312,,1997-04-02
7242,11027,48096,24,2004,,1997-10-23
7250,11069,119136,48,2482,,1997-03-04
7253,11079,98304,12,8192,,1997-04-26
7255,11096,213300,60,3555,,1997-06-09
7264,11141,44940,12,3745,,1997-10-07
7277,11231,89280,12,7440,,1997-10-24
7279,11244,155760,24,6490,,1997-12-11
7286,11271,67320,36,1870,,1997-01-31
7292,11317,317460,60,5291,,1998-11-22
7294,11327,39168,24,1632,,1998-09-27
7295,11328,280440,60,4674,,1998-07-18
