client_id,district_id,birthdate,birthdate_year,birthdate_month,birthdate_day,sex
203,31,1962-06-10,1962,6,10,m
204,31,1967-56-17,1967,6,17,f
205,4,1942-56-15,1942,6,15,f
206,59,1963-54-13,1963,4,13,f
207,46,1932-05-20,1932,5,20,m
208,13,1940-56-25,1940,6,25,f
209,13,1935-08-20,1935,8,20,m
210,66,1939-11-30,1939,11,30,m
211,66,1945-56-28,1945,6,28,f
212,52,1975-02-10,1975,2,10,m
215,71,1967-09-24,1967,9,24,m
216,1,1960-01-30,1960,1,30,m
217,59,1974-62-22,1974,12,22,f
218,1,1980-51-23,1980,1,23,f
219,60,1964-54-02,1964,4,2,f
221,21,1977-52-25,1977,2,25,f
222,47,1972-56-29,1972,6,29,f
223,43,1952-52-27,1952,2,27,f
224,77,1955-05-11,1955,5,11,m
225,32,1936-05-10,1936,5,10,m
226,1,1942-06-16,1942,6,16,m
227,52,1926-62-18,1926,12,18,f
228,48,1956-53-16,1956,3,16,f
229,76,1969-07-22,1969,7,22,m
230,74,1967-53-10,1967,3,10,f
231,41,1941-02-18,1941,2,18,m
232,55,1921-56-17,1921,6,17,f
233,69,1958-62-03,1958,12,3,f
234,69,1955-06-21,1955,6,21,m
235,44,1943-58-28,1943,8,28,f
236,70,1961-09-01,1961,9,1,m
237,70,1969-52-22,1969,2,22,f
238,6,1961-61-28,1961,11,28,f
239,1,1974-59-10,1974,9,10,f
240,34,1929-56-17,1929,6,17,f
241,70,1959-01-23,1959,1,23,m
242,17,1961-58-01,1961,8,1,f
243,63,1954-02-10,1954,2,10,m
246,67,1970-62-28,1970,12,28,f
247,1,1957-05-08,1957,5,8,m
248,61,1969-62-12,1969,12,12,f
249,61,1970-05-05,1970,5,5,m
250,8,1979-61-25,1979,11,25,f
251,54,1976-53-03,1976,3,3,f
252,37,1969-59-01,1969,9,1,f
253,48,1947-55-12,1947,5,12,f
254,28,1963-05-30,1963,5,30,m
255,27,1951-60-11,1951,10,11,f
256,73,1963-52-27,1963,2,27,f
257,22,1942-61-04,1942,11,4,f
258,22,1937-05-31,1937,5,31,m
259,31,1966-06-08,1966,6,8,m
260,31,1962-52-24,1962,2,24,f
261,38,1937-62-07,1937,12,7,f
262,77,1945-11-25,1945,11,25,m
263,68,1962-05-20,1962,5,20,m
264,28,1978-08-22,1978,8,22,m
265,72,1933-51-07,1933,1,7,f
266,19,1967-58-28,1967,8,28,f
267,37,1967-06-12,1967,6,12,m
268,39,1982-55-02,1982,5,2,f
269,15,1923-62-03,1923,12,3,f
270,46,1947-03-08,1947,3,8,m
271,46,1945-57-27,1945,7,27,f
272,70,1944-60-25,1944,10,25,f
273,27,1972-55-15,1972,5,15,f
274,17,1970-61-25,1970,11,25,f
275,1,1918-61-12,1918,11,12,f
276,1,1957-06-11,1957,6,11,m
277,1,1961-61-28,1961,11,28,f
278,22,1972-62-27,1972,12,27,f
279,22,1970-05-16,1970,5,16,m
280,45,1969-62-18,1969,12,18,f
282,73,1938-52-24,1938,2,24,f
283,73,1933-11-04,1933,11,4,m
284,10,1974-08-06,1974,8,6,m
285,72,1954-06-03,1954,6,3,m
286,72,1952-54-18,1952,4,18,f
287,50,1980-09-09,1980,9,9,m
288,6,1962-04-21,1962,4,21,m
289,54,1958-03-27,1958,3,27,m
290,72,1959-01-12,1959,1,12,m
291,72,1955-54-27,1955,4,27,f
292,15,1958-59-06,1958,9,6,f
293,69,1943-09-27,1943,9,27,m
294,58,1968-03-21,1968,3,21,m
295,12,1939-03-27,1939,3,27,m
296,65,1974-03-01,1974,3,1,m
297,65,1924-53-15,1924,3,15,f
298,65,1921-06-13,1921,6,13,m
300,1,1957-57-30,1957,7,30,f
301,28,1942-01-10,1942,1,10,m
302,56,1971-02-23,1971,2,23,m
303,74,1946-05-06,1946,5,6,m
304,19,1934-53-11,1934,3,11,f
305,46,1938-06-08,1938,6,8,m
308,68,1976-56-12,1976,6,12,f
309,37,1969-62-14,1969,12,14,f
310,11,1950-04-16,1950,4,16,m
311,64,1930-59-16,1930,9,16,f
312,2,1924-07-03,1924,7,3,m
313,24,1942-55-11,1942,5,11,f
314,24,1945-03-22,1945,3,22,m
315,54,1967-05-01,1967,5,1,m
316,75,1955-04-28,1955,4,28,m
317,64,1957-60-06,1957,10,6,f
318,15,1943-54-02,1943,4,2,f
319,19,1929-54-04,1929,4,4,f
320,19,1934-11-12,1934,11,12,m
321,47,1943-60-24,1943,10,24,f
322,38,1933-02-01,1933,2,1,m
323,38,1938-54-04,1938,4,4,f
324,3,1960-12-03,1960,12,3,m
325,3,1960-02-21,1960,2,21,m
326,27,1967-59-18,1967,9,18,f
327,27,1968-10-13,1968,10,13,m
328,1,1918-51-24,1918,1,24,f
329,11,1964-12-03,1964,12,3,m
330,65,1944-58-05,1944,8,5,f
331,1,1942-03-02,1942,3,2,m
332,29,1978-07-25,1978,7,25,m
333,38,1971-10-19,1971,10,19,m
334,32,1969-10-31,1969,10,31,m
335,73,1967-57-22,1967,7,22,f
336,39,1964-52-11,1964,2,11,f
337,39,1957-05-08,1957,5,8,m
338,8,1951-56-19,1951,6,19,f
339,1,1966-07-30,1966,7,30,m
340,1,1970-58-19,1970,8,19,f
341,69,1977-03-16,1977,3,16,m
342,69,1972-56-30,1972,6,30,f
343,44,1919-11-19,1919,11,19,m
344,54,1963-57-16,1963,7,16,f
345,17,1953-12-07,1953,12,7,m
346,17,1960-61-02,1960,11,2,f
347,71,1959-12-13,1959,12,13,m
348,71,1953-51-24,1953,1,24,f
349,39,1927-55-27,1927,5,27,f
350,25,1925-54-02,1925,4,2,f
351,1,1973-05-01,1973,5,1,m
352,56,1940-08-27,1940,8,27,m
353,7,1965-10-26,1965,10,26,m
354,49,1922-54-27,1922,4,27,f
355,49,1930-05-31,1930,5,31,m
356,1,1979-62-07,1979,12,7,f
357,1,1979-03-30,1979,3,30,m
358,7,1959-56-26,1959,6,26,f
359,66,1970-02-16,1970,2,16,m
360,49,1943-04-27,1943,4,27,m
361,74,1977-55-25,1977,5,25,f
362,35,1950-54-27,1950,4,27,f
363,35,1942-07-01,1942,7,1,m
364,54,1942-62-05,1942,12,5,f
365,1,1930-01-09,1930,1,9,m
366,1,1936-61-10,1936,11,10,f
367,60,1963-59-03,1963,9,3,f
368,60,1968-10-14,1968,10,14,m
369,7,1930-61-06,1930,11,6,f
370,71,1956-51-05,1956,1,5,f
371,4,1942-07-16,1942,7,16,m
372,34,1932-04-03,1932,4,3,m
373,16,1936-02-28,1936,2,28,m
374,26,1967-06-14,1967,6,14,m
375,61,1969-59-29,1969,9,29,f
376,14,1973-51-08,1973,1,8,f
378,50,1978-05-15,1978,5,15,m
379,50,1983-60-13,1983,10,13,f
380,41,1973-01-19,1973,1,19,m
381,73,1977-51-26,1977,1,26,f
382,73,1978-06-30,1978,6,30,m
383,15,1939-55-17,1939,5,17,f
384,15,1935-10-08,1935,10,8,m
385,45,1948-03-24,1948,3,24,m
386,62,1980-08-21,1980,8,21,m
387,76,1927-06-06,1927,6,6,m
388,36,1950-60-30,1950,10,30,f
389,47,1974-56-30,1974,6,30,f
390,47,1977-51-27,1977,1,27,f
391,47,1933-55-22,1933,5,22,f
392,74,1950-54-01,1950,4,1,f
393,74,1956-08-31,1956,8,31,m
394,52,1924-55-18,1924,5,18,f
395,52,1919-07-05,1919,7,5,m
396,1,1920-05-02,1920,5,2,m
397,75,1930-03-27,1930,3,27,m
398,61,1925-53-26,1925,3,26,f
399,45,1952-04-14,1952,4,14,m
400,1,1933-12-27,1933,12,27,m
401,1,1928-61-19,1928,11,19,f
402,3,1943-12-25,1943,12,25,m
403,42,1973-55-26,1973,5,26,f
404,42,1967-04-20,1967,4,20,m
405,65,1934-60-19,1934,10,19,f
406,36,1977-05-15,1977,5,15,m
407,73,1975-55-27,1975,5,27,f
408,35,1978-52-22,1978,2,22,f
409,74,1925-06-18,1925,6,18,m
410,62,1962-12-20,1962,12,20,m
411,17,1941-54-14,1941,4,14,f
412,17,1944-04-17,1944,4,17,m
413,49,1972-61-18,1972,11,18,f
414,46,1947-60-19,1947,10,19,f
415,46,1945-04-01,1945,4,1,m
416,1,1932-60-07,1932,10,7,f
417,1,1930-06-10,1930,6,10,m
418,28,1966-10-13,1966,10,13,m
419,64,1970-60-07,1970,10,7,f
420,18,1978-03-13,1978,3,13,m
421,54,1965-07-31,1965,7,31,m
422,69,1946-12-07,1946,12,7,m
423,37,1957-06-23,1957,6,23,m
424,1,1947-10-08,1947,10,8,m
425,25,1948-02-12,1948,2,12,m
426,72,1937-06-01,1937,6,1,m
427,72,1941-59-14,1941,9,14,f
428,47,1919-61-16,1919,11,16,f
429,50,1981-51-20,1981,1,20,f
430,39,1920-07-28,1920,7,28,m
431,24,1927-60-01,1927,10,1,f
432,59,1952-53-26,1952,3,26,f
433,62,1955-02-07,1955,2,7,m
434,70,1943-51-30,1943,1,30,f
435,20,1967-10-23,1967,10,23,m
436,2,1955-06-15,1955,6,15,m
437,11,1920-51-17,1920,1,17,f
438,32,1938-09-28,1938,9,28,m
439,51,1968-59-12,1968,9,12,f
440,15,1970-57-07,1970,7,7,f
441,1,1959-09-14,1959,9,14,m
442,1,1971-62-16,1971,12,16,f
443,1,1971-12-20,1971,12,20,m
444,74,1960-58-01,1960,8,1,f
445,1,1947-54-27,1947,4,27,f
446,1,1952-03-19,1952,3,19,m
447,23,1946-09-04,1946,9,4,m
448,77,1970-58-15,1970,8,15,f
450,25,1953-11-27,1953,11,27,m
451,12,1979-04-14,1979,4,14,m
452,55,1953-60-22,1953,10,22,f
453,67,1969-07-16,1969,7,16,m
454,38,1949-56-15,1949,6,15,f
455,68,1920-07-26,1920,7,26,m
456,25,1940-02-28,1940,2,28,m
457,70,1950-09-26,1950,9,26,m
458,68,1961-07-24,1961,7,24,m
459,32,1967-57-23,1967,7,23,f
461,68,1970-58-13,1970,8,13,f
462,14,1970-12-21,1970,12,21,m
463,38,1944-04-05,1944,4,5,m
464,24,1959-57-30,1959,7,30,f
465,5,1952-09-01,1952,9,1,m
466,1,1947-61-19,1947,11,19,f
467,1,1950-04-17,1950,4,17,m
468,72,1959-04-27,1959,4,27,m
469,59,1970-60-13,1970,10,13,f
470,30,1954-54-21,1954,4,21,f
471,44,1977-01-11,1977,1,11,m
472,36,1981-12-27,1981,12,27,m
473,1,1939-59-25,1939,9,25,f
474,46,1949-05-31,1949,5,31,m
476,1,1947-56-01,1947,6,1,f
477,1,1954-07-20,1954,7,20,m
478,21,1978-06-21,1978,6,21,m
479,11,1947-08-20,1947,8,20,m
480,11,1946-51-24,1946,1,24,f
481,69,1927-01-22,1927,1,22,m
482,69,1934-51-22,1934,1,22,f
483,1,1944-06-19,1944,6,19,m
484,28,1959-59-13,1959,9,13,f
485,32,1978-05-16,1978,5,16,m
486,68,1944-04-12,1944,4,12,m
487,1,1922-54-01,1922,4,1,f
488,1,1917-08-02,1917,8,2,m
489,41,1940-10-07,1940,10,7,m
490,55,1950-10-23,1950,10,23,m
491,63,1966-08-05,1966,8,5,m
492,72,1935-10-26,1935,10,26,m
493,41,1942-56-04,1942,6,4,f
494,1,1980-05-19,1980,5,19,m
495,49,1937-54-07,1937,4,7,f
496,70,1951-55-21,1951,5,21,f
497,74,1953-02-02,1953,2,2,m
498,74,1948-51-15,1948,1,15,f
499,18,1935-57-08,1935,7,8,f
500,1,1971-01-06,1971,1,6,m
501,62,1937-10-28,1937,10,28,m
502,6,1919-12-08,1919,12,8,m
503,73,1959-07-24,1959,7,24,m
504,36,1979-08-01,1979,8,1,m
505,13,1977-12-21,1977,12,21,m
506,75,1946-08-16,1946,8,16,m
507,75,1954-11-16,1954,11,16,m
508,53,1971-04-28,1971,4,28,m
509,73,1980-05-02,1980,5,2,m
510,12,1976-04-15,1976,4,15,m
511,9,1959-02-18,1959,2,18,m
512,60,1965-58-03,1965,8,3,f
513,8,1974-51-11,1974,1,11,f
514,8,1968-11-15,1968,11,15,m
515,1,1932-05-26,1932,5,26,m
516,1,1930-54-27,1930,4,27,f
517,63,1965-07-25,1965,7,25,m
518,54,1979-54-28,1979,4,28,f
519,18,1980-04-13,1980,4,13,m
520,46,1947-59-27,1947,9,27,f
521,69,1975-12-25,1975,12,25,m
522,1,1956-53-04,1956,3,4,f
523,38,1922-12-17,1922,12,17,m
524,30,1963-51-02,1963,1,2,f
525,30,1969-08-14,1969,8,14,m
526,43,1964-02-01,1964,2,1,m
527,43,1966-58-18,1966,8,18,f
528,37,1977-02-11,1977,2,11,m
529,69,1978-11-05,1978,11,5,m
530,29,1957-59-27,1957,9,27,f
531,27,1976-10-04,1976,10,4,m
532,27,1980-59-03,1980,9,3,f
533,54,1941-55-19,1941,5,19,f
534,74,1957-07-22,1957,7,22,m
535,26,1937-09-09,1937,9,9,m
536,47,1939-08-25,1939,8,25,m
537,1,1935-01-16,1935,1,16,m
538,5,1948-55-10,1948,5,10,f
540,19,1921-07-28,1921,7,28,m
541,19,1927-53-09,1927,3,9,f
542,59,1921-52-09,1921,2,9,f
543,11,1958-54-15,1958,4,15,f
544,63,1948-11-16,1948,11,16,m
545,75,1973-60-11,1973,10,11,f
546,7,1953-08-25,1953,8,25,m
547,54,1949-03-31,1949,3,31,m
548,49,1937-12-04,1937,12,4,m
550,7,1961-11-30,1961,11,30,m
551,47,1976-57-05,1976,7,5,f
552,1,1934-55-08,1934,5,8,f
553,1,1941-04-07,1941,4,7,m
554,30,1925-54-19,1925,4,19,f
555,30,1926-10-21,1926,10,21,m
556,29,1946-07-08,1946,7,8,m
557,51,1939-07-17,1939,7,17,m
558,43,1920-57-05,1920,7,5,f
559,32,1972-59-05,1972,9,5,f
560,71,1967-62-16,1967,12,16,f
561,74,1962-61-10,1962,11,10,f
562,49,1975-59-22,1975,9,22,f
563,72,1961-59-09,1961,9,9,f
564,72,1955-01-24,1955,1,24,m
565,64,1959-57-03,1959,7,3,f
566,47,1946-53-05,1946,3,5,f
567,47,1950-05-02,1950,5,2,m
568,8,1960-57-19,1960,7,19,f
569,73,1962-06-15,1962,6,15,m
570,61,1941-51-31,1941,1,31,f
571,3,1924-09-27,1924,9,27,m
572,3,1920-58-04,1920,8,4,f
573,69,1967-08-10,1967,8,10,m
574,1,1972-12-25,1972,12,25,m
575,58,1970-04-04,1970,4,4,m
576,58,1974-55-12,1974,5,12,f
577,1,1963-62-05,1963,12,5,f
578,23,1977-57-07,1977,7,7,f
579,72,1933-55-31,1933,5,31,f
581,70,1949-52-04,1949,2,4,f
582,1,1950-09-26,1950,9,26,m
583,75,1965-51-01,1965,1,1,f
584,33,1976-55-13,1976,5,13,f
585,40,1942-52-21,1942,2,21,f
586,40,1947-11-03,1947,11,3,m
587,25,1945-57-08,1945,7,8,f
588,61,1960-60-20,1960,10,20,f
589,45,1961-09-17,1961,9,17,m
590,44,1949-02-15,1949,2,15,m
591,65,1974-60-29,1974,10,29,f
592,26,1965-07-18,1965,7,18,m
593,60,1954-57-10,1954,7,10,f
596,69,1948-10-24,1948,10,24,m
597,55,1943-02-22,1943,2,22,m
598,1,1970-12-31,1970,12,31,m
599,1,1977-55-18,1977,5,18,f
601,56,1966-03-12,1966,3,12,m
602,56,1965-51-16,1965,1,16,f
603,13,1966-53-09,1966,3,9,f
604,1,1965-57-31,1965,7,31,f
605,1,1970-58-27,1970,8,27,f
606,10,1949-51-25,1949,1,25,f
607,64,1964-03-30,1964,3,30,m
608,67,1972-08-31,1972,8,31,m
609,52,1962-09-02,1962,9,2,m
610,74,1979-58-10,1979,8,10,f
611,36,1952-10-13,1952,10,13,m
612,36,1960-61-10,1960,11,10,f
613,1,1977-58-10,1977,8,10,f
614,14,1947-52-03,1947,2,3,f
615,68,1949-59-13,1949,9,13,f
616,58,1975-01-01,1975,1,1,m
617,70,1974-03-14,1974,3,14,m
618,57,1932-53-16,1932,3,16,f
619,6,1920-09-07,1920,9,7,m
620,6,1918-52-13,1918,2,13,f
621,54,1939-03-17,1939,3,17,m
622,74,1931-61-23,1931,11,23,f
623,24,1925-09-04,1925,9,4,m
624,24,1932-57-26,1932,7,26,f
625,60,1978-61-24,1978,11,24,f
626,9,1980-04-13,1980,4,13,m
627,17,1972-04-11,1972,4,11,m
628,17,1970-55-27,1970,5,27,f
629,16,1976-03-10,1976,3,10,m
630,61,1952-03-03,1952,3,3,m
631,70,1956-53-22,1956,3,22,f
632,67,1946-03-16,1946,3,16,m
633,67,1938-56-12,1938,6,12,f
635,17,1927-56-29,1927,6,29,f
636,17,1935-02-17,1935,2,17,m
637,39,1970-62-15,1970,12,15,f
638,54,1961-52-03,1961,2,3,f
639,31,1978-08-02,1978,8,2,m
640,26,1979-04-15,1979,4,15,m
641,40,1962-57-04,1962,7,4,f
642,40,1963-10-25,1963,10,25,m
643,1,1949-56-13,1949,6,13,f
644,35,1961-54-23,1961,4,23,f
645,14,1925-12-21,1925,12,21,m
646,34,1922-59-29,1922,9,29,f
647,34,1929-04-06,1929,4,6,m
648,70,1935-59-28,1935,9,28,f
649,13,1978-55-02,1978,5,2,f
651,54,1976-51-27,1976,1,27,f
652,61,1938-12-08,1938,12,8,m
653,1,1930-61-21,1930,11,21,f
654,64,1942-55-17,1942,5,17,f
655,32,1942-12-10,1942,12,10,m
656,1,1956-06-06,1956,6,6,m
657,8,1926-57-10,1926,7,10,f
658,8,1926-12-21,1926,12,21,m
659,24,1965-12-07,1965,12,7,m
660,16,1923-03-22,1923,3,22,m
661,16,1919-51-15,1919,1,15,f
662,5,1945-08-07,1945,8,7,m
663,24,1923-01-20,1923,1,20,m
664,77,1980-53-19,1980,3,19,f
665,62,1932-54-05,1932,4,5,f
666,26,1982-05-23,1982,5,23,m
667,26,1981-57-20,1981,7,20,f
668,1,1942-62-25,1942,12,25,f
669,12,1956-62-19,1956,12,19,f
670,1,1959-01-21,1959,1,21,m
671,10,1971-52-27,1971,2,27,f
672,46,1929-61-09,1929,11,9,f
673,36,1939-10-29,1939,10,29,m
674,11,1927-51-11,1927,1,11,f
675,50,1975-11-12,1975,11,12,m
676,70,1953-02-07,1953,2,7,m
677,5,1963-05-24,1963,5,24,m
678,39,1933-55-28,1933,5,28,f
679,8,1940-03-19,1940,3,19,m
680,8,1940-55-09,1940,5,9,f
681,15,1977-01-15,1977,1,15,m
682,18,1979-10-21,1979,10,21,m
683,76,1945-58-29,1945,8,29,f
684,3,1976-54-10,1976,4,10,f
685,72,1930-62-13,1930,12,13,f
686,32,1971-60-03,1971,10,3,f
687,32,1975-01-28,1975,1,28,m
688,1,1954-05-04,1954,5,4,m
689,70,1964-08-02,1964,8,2,m
690,38,1942-11-07,1942,11,7,m
691,38,1944-51-13,1944,1,13,f
692,74,1936-51-11,1936,1,11,f
693,74,1935-03-17,1935,3,17,m
694,29,1936-02-28,1936,2,28,m
695,28,1955-06-27,1955,6,27,m
696,28,1952-62-01,1952,12,1,f
697,1,1974-05-01,1974,5,1,m
698,75,1954-02-27,1954,2,27,m
699,26,1922-54-22,1922,4,22,f
700,12,1929-11-20,1929,11,20,m
702,31,1968-61-07,1968,11,7,f
703,4,1959-04-26,1959,4,26,m
704,54,1975-05-01,1975,5,1,m
705,19,1938-12-10,1938,12,10,m
706,1,1948-08-05,1948,8,5,m
707,1,1941-12-14,1941,12,14,m
708,50,1977-61-27,1977,11,27,f
709,1,1934-12-29,1934,12,29,m
710,23,1925-11-28,1925,11,28,m
711,48,1963-58-16,1963,8,16,f
712,54,1962-12-04,1962,12,4,m
713,20,1980-53-29,1980,3,29,f
714,31,1970-10-08,1970,10,8,m
715,1,1952-51-15,1952,1,15,f
716,1,1954-62-04,1954,12,4,f
717,54,1968-05-02,1968,5,2,m
718,54,1960-52-28,1960,2,28,f
719,46,1974-08-09,1974,8,9,m
720,29,1954-09-06,1954,9,6,m
721,43,1940-02-15,1940,2,15,m
722,62,1970-61-25,1970,11,25,f
723,12,1957-57-26,1957,7,26,f
724,65,1953-52-02,1953,2,2,f
725,75,1956-12-11,1956,12,11,m
726,16,1935-02-13,1935,2,13,m
727,32,1930-57-20,1930,7,20,f
728,32,1932-01-20,1932,1,20,m
