account_id,district_id,frequency,acc_creation_date,acc_creation_year,acc_creation_month,acc_creation_day
218,68,monthly issuance,1996-02-06,1996,2,6
219,28,monthly issuance,1995-09-06,1995,9,6
220,72,monthly issuance,1993-04-09,1993,4,9
221,19,monthly issuance,1996-10-30,1996,10,30
222,37,monthly issuance,1993-03-15,1993,3,15
223,39,monthly issuance,1995-06-13,1995,6,13
224,15,monthly issuance,1996-10-27,1996,10,27
225,1,monthly issuance,1993-07-28,1993,7,28
226,70,monthly issuance,1997-02-23,1997,2,23
227,27,monthly issuance,1995-03-28,1995,3,28
228,5,monthly issuance,1993-09-28,1993,9,28
229,1,monthly issuance,1997-06-07,1997,6,7
230,1,monthly issuance,1996-02-26,1996,2,26
231,22,monthly issuance,1995-04-03,1995,4,3
232,45,monthly issuance,1997-11-29,1997,11,29
234,73,monthly issuance,1993-07-15,1993,7,15
235,41,monthly issuance,1993-10-06,1993,10,6
236,72,monthly issuance,1996-03-16,1996,3,16
237,50,monthly issuance,1994-03-25,1994,3,25
238,6,monthly issuance,1993-08-15,1993,8,15
239,69,weekly issuance,1993-03-01,1993,3,1
240,72,monthly issuance,1997-04-28,1997,4,28
241,15,monthly issuance,1996-09-29,1996,9,29
242,69,monthly issuance,1996-08-29,1996,8,29
243,55,weekly issuance,1993-11-06,1993,11,6
244,24,monthly issuance,1993-02-08,1993,2,8
245,65,monthly issuance,1993-11-25,1993,11,25
246,65,monthly issuance,1997-12-20,1997,12,20
248,1,monthly issuance,1995-04-02,1995,4,2
249,28,monthly issuance,1996-12-03,1996,12,3
250,56,monthly issuance,1997-05-10,1997,5,10
251,74,monthly issuance,1996-04-06,1996,4,6
252,19,monthly issuance,1996-12-26,1996,12,26
253,46,monthly issuance,1995-12-05,1995,12,5
255,68,monthly issuance,1996-11-03,1996,11,3
256,37,monthly issuance,1995-05-14,1995,5,14
257,11,monthly issuance,1995-11-05,1995,11,5
258,64,monthly issuance,1997-07-09,1997,7,9
259,2,monthly issuance,1993-10-28,1993,10,28
260,24,monthly issuance,1995-10-14,1995,10,14
261,54,monthly issuance,1996-10-07,1996,10,7
262,75,monthly issuance,1996-01-27,1996,1,27
263,64,weekly issuance,1997-01-03,1997,1,3
264,15,monthly issuance,1996-02-09,1996,2,9
265,19,monthly issuance,1996-07-05,1996,7,5
266,47,monthly issuance,1994-05-11,1994,5,11
267,38,monthly issuance,1995-04-26,1995,4,26
268,3,monthly issuance,1996-05-29,1996,5,29
269,3,monthly issuance,1996-08-30,1996,8,30
270,27,monthly issuance,1995-01-23,1995,1,23
271,1,monthly issuance,1996-08-13,1996,8,13
272,11,monthly issuance,1996-10-23,1996,10,23
273,24,issuance after transaction,1993-07-11,1993,7,11
274,76,monthly issuance,1993-08-20,1993,8,20
275,29,monthly issuance,1996-01-02,1996,1,2
276,38,monthly issuance,1997-12-08,1997,12,8
277,32,issuance after transaction,1994-05-01,1994,5,1
278,73,monthly issuance,1996-04-08,1996,4,8
279,39,monthly issuance,1993-04-14,1993,4,14
280,25,monthly issuance,1993-01-23,1993,1,23
281,1,monthly issuance,1996-10-27,1996,10,27
282,69,monthly issuance,1997-05-12,1997,5,12
283,44,monthly issuance,1996-04-18,1996,4,18
284,54,monthly issuance,1997-07-18,1997,7,18
285,17,monthly issuance,1995-05-08,1995,5,8
286,71,monthly issuance,1996-03-27,1996,3,27
287,16,monthly issuance,1993-10-27,1993,10,27
288,25,monthly issuance,1995-03-18,1995,3,18
289,1,monthly issuance,1994-03-17,1994,3,17
290,56,monthly issuance,1993-12-02,1993,12,2
291,7,monthly issuance,1997-06-08,1997,6,8
292,49,monthly issuance,1997-02-26,1997,2,26
293,1,monthly issuance,1997-05-04,1997,5,4
294,7,monthly issuance,1997-01-05,1997,1,5
295,66,monthly issuance,1997-11-23,1997,11,23
296,49,monthly issuance,1996-02-14,1996,2,14
297,74,monthly issuance,1996-09-08,1996,9,8
298,35,monthly issuance,1997-12-02,1997,12,2
299,77,monthly issuance,1993-04-05,1993,4,5
300,1,monthly issuance,1993-06-23,1993,6,23
301,60,monthly issuance,1995-09-10,1995,9,10
302,7,monthly issuance,1996-05-09,1996,5,9
303,71,monthly issuance,1996-07-25,1996,7,25
304,4,monthly issuance,1997-03-20,1997,3,20
305,34,monthly issuance,1996-10-18,1996,10,18
306,16,monthly issuance,1993-06-08,1993,6,8
307,26,monthly issuance,1997-08-07,1997,8,7
308,61,monthly issuance,1995-10-16,1995,10,16
309,14,monthly issuance,1997-04-25,1997,4,25
311,50,monthly issuance,1997-08-08,1997,8,8
312,41,monthly issuance,1996-01-03,1996,1,3
313,73,monthly issuance,1996-07-06,1996,7,6
314,15,issuance after transaction,1996-01-26,1996,1,26
315,45,monthly issuance,1997-12-08,1997,12,8
316,62,monthly issuance,1997-05-08,1997,5,8
317,76,monthly issuance,1993-03-10,1993,3,10
318,36,monthly issuance,1994-09-16,1994,9,16
319,47,weekly issuance,1995-10-17,1995,10,17
320,47,monthly issuance,1997-01-23,1997,1,23
321,47,monthly issuance,1993-11-11,1993,11,11
322,1,monthly issuance,1993-02-20,1993,2,20
323,52,monthly issuance,1997-02-23,1997,2,23
324,1,monthly issuance,1996-08-23,1996,8,23
325,75,monthly issuance,1996-10-06,1996,10,6
326,61,monthly issuance,1997-08-06,1997,8,6
327,54,monthly issuance,1993-06-02,1993,6,2
328,1,monthly issuance,1997-09-18,1997,9,18
329,3,monthly issuance,1996-10-19,1996,10,19
330,42,monthly issuance,1996-11-24,1996,11,24
331,65,monthly issuance,1995-10-02,1995,10,2
332,36,monthly issuance,1996-01-12,1996,1,12
333,73,monthly issuance,1996-12-23,1996,12,23
334,1,monthly issuance,1993-05-24,1993,5,24
335,74,monthly issuance,1996-01-20,1996,1,20
336,62,monthly issuance,1995-10-16,1995,10,16
337,17,monthly issuance,1995-11-25,1995,11,25
338,49,monthly issuance,1995-11-18,1995,11,18
339,46,weekly issuance,1996-09-11,1996,9,11
340,1,monthly issuance,1993-11-03,1993,11,3
341,28,monthly issuance,1996-11-19,1996,11,19
342,64,monthly issuance,1996-10-13,1996,10,13
343,18,monthly issuance,1994-04-26,1994,4,26
344,54,monthly issuance,1993-12-01,1993,12,1
345,5,monthly issuance,1993-11-20,1993,11,20
346,37,monthly issuance,1993-01-11,1993,1,11
347,65,monthly issuance,1993-12-13,1993,12,13
348,25,monthly issuance,1995-11-15,1995,11,15
349,72,monthly issuance,1997-06-08,1997,6,8
350,47,monthly issuance,1996-10-13,1996,10,13
351,50,monthly issuance,1997-02-17,1997,2,17
352,39,monthly issuance,1994-07-04,1994,7,4
353,24,monthly issuance,1995-08-30,1995,8,30
354,59,monthly issuance,1993-10-28,1993,10,28
355,62,weekly issuance,1996-02-01,1996,2,1
356,70,monthly issuance,1996-03-12,1996,3,12
357,20,monthly issuance,1996-03-10,1996,3,10
358,12,monthly issuance,1993-12-09,1993,12,9
359,11,monthly issuance,1994-12-11,1994,12,11
360,32,monthly issuance,1996-05-14,1996,5,14
361,51,monthly issuance,1993-02-27,1993,2,27
362,15,monthly issuance,1993-04-04,1993,4,4
363,1,monthly issuance,1994-05-06,1994,5,6
364,1,monthly issuance,1997-01-20,1997,1,20
365,74,monthly issuance,1993-12-12,1993,12,12
366,1,monthly issuance,1996-10-23,1996,10,23
367,23,monthly issuance,1997-05-09,1997,5,9
368,77,monthly issuance,1993-07-06,1993,7,6
370,25,monthly issuance,1994-02-18,1994,2,18
371,12,monthly issuance,1996-08-02,1996,8,2
372,55,monthly issuance,1995-09-10,1995,9,10
373,67,monthly issuance,1996-06-20,1996,6,20
374,38,monthly issuance,1993-01-09,1993,1,9
375,68,monthly issuance,1996-06-07,1996,6,7
376,25,monthly issuance,1995-03-05,1995,3,5
377,70,monthly issuance,1994-08-19,1994,8,19
378,68,monthly issuance,1996-07-22,1996,7,22
379,32,monthly issuance,1996-05-18,1996,5,18
381,68,monthly issuance,1993-07-04,1993,7,4
382,14,monthly issuance,1996-08-16,1996,8,16
383,38,monthly issuance,1997-05-15,1997,5,15
384,24,weekly issuance,1997-09-14,1997,9,14
385,5,monthly issuance,1993-04-07,1993,4,7
386,1,monthly issuance,1997-08-11,1997,8,11
387,72,monthly issuance,1997-09-19,1997,9,19
388,59,monthly issuance,1995-02-11,1995,2,11
389,30,monthly issuance,1993-08-28,1993,8,28
390,44,monthly issuance,1996-02-16,1996,2,16
391,36,monthly issuance,1993-12-11,1993,12,11
392,1,monthly issuance,1996-07-14,1996,7,14
393,46,monthly issuance,1995-02-04,1995,2,4
395,1,monthly issuance,1993-03-12,1993,3,12
396,21,monthly issuance,1993-03-08,1993,3,8
397,11,monthly issuance,1993-10-26,1993,10,26
398,69,monthly issuance,1997-10-24,1997,10,24
399,1,monthly issuance,1996-08-27,1996,8,27
400,28,monthly issuance,1993-07-17,1993,7,17
401,32,monthly issuance,1993-01-18,1993,1,18
402,68,monthly issuance,1997-09-14,1997,9,14
403,1,monthly issuance,1993-07-29,1993,7,29
404,41,monthly issuance,1995-04-28,1995,4,28
405,55,monthly issuance,1997-03-13,1997,3,13
406,63,monthly issuance,1996-09-03,1996,9,3
407,72,weekly issuance,1997-04-18,1997,4,18
408,41,monthly issuance,1993-07-21,1993,7,21
409,1,monthly issuance,1996-06-11,1996,6,11
410,49,monthly issuance,1996-10-15,1996,10,15
411,70,monthly issuance,1993-02-05,1993,2,5
412,74,monthly issuance,1996-01-21,1996,1,21
413,18,monthly issuance,1996-07-09,1996,7,9
414,1,monthly issuance,1996-01-29,1996,1,29
415,25,monthly issuance,1993-03-03,1993,3,3
416,6,monthly issuance,1996-08-11,1996,8,11
417,73,monthly issuance,1996-01-27,1996,1,27
418,36,monthly issuance,1995-08-27,1995,8,27
419,13,monthly issuance,1993-10-25,1993,10,25
420,75,monthly issuance,1995-08-26,1995,8,26
421,75,monthly issuance,1997-11-27,1997,11,27
422,53,weekly issuance,1994-08-29,1994,8,29
423,12,monthly issuance,1993-03-28,1993,3,28
424,12,monthly issuance,1997-02-17,1997,2,17
425,9,monthly issuance,1993-03-19,1993,3,19
426,1,monthly issuance,1993-11-29,1993,11,29
427,8,monthly issuance,1994-07-24,1994,7,24
428,1,monthly issuance,1993-02-27,1993,2,27
429,63,monthly issuance,1995-09-03,1995,9,3
430,54,monthly issuance,1995-09-02,1995,9,2
431,18,monthly issuance,1996-11-05,1996,11,5
432,46,monthly issuance,1993-06-16,1993,6,16
433,20,monthly issuance,1993-06-12,1993,6,12
434,1,monthly issuance,1996-12-24,1996,12,24
435,38,monthly issuance,1993-01-08,1993,1,8
436,30,monthly issuance,1996-08-07,1996,8,7
437,43,monthly issuance,1993-12-03,1993,12,3
438,37,monthly issuance,1997-06-23,1997,6,23
439,69,monthly issuance,1996-04-15,1996,4,15
440,29,monthly issuance,1996-12-22,1996,12,22
441,27,weekly issuance,1993-12-17,1993,12,17
442,54,monthly issuance,1997-03-30,1997,3,30
443,64,monthly issuance,1993-01-28,1993,1,28
444,26,monthly issuance,1996-05-09,1996,5,9
445,63,weekly issuance,1993-07-29,1993,7,29
446,50,monthly issuance,1993-06-15,1993,6,15
447,5,monthly issuance,1996-08-14,1996,8,14
449,19,monthly issuance,1994-11-22,1994,11,22
450,59,monthly issuance,1996-05-28,1996,5,28
451,11,monthly issuance,1994-05-05,1994,5,5
452,63,monthly issuance,1995-11-29,1995,11,29
453,75,monthly issuance,1997-04-24,1997,4,24
454,7,monthly issuance,1995-05-07,1995,5,7
455,54,monthly issuance,1995-04-23,1995,4,23
456,49,monthly issuance,1993-01-21,1993,1,21
458,7,monthly issuance,1995-06-16,1995,6,16
459,47,monthly issuance,1993-01-21,1993,1,21
460,1,monthly issuance,1994-04-18,1994,4,18
461,30,monthly issuance,1993-02-18,1993,2,18
462,29,monthly issuance,1993-11-10,1993,11,10
463,51,monthly issuance,1995-05-08,1995,5,8
464,43,monthly issuance,1997-05-28,1997,5,28
465,32,monthly issuance,1993-02-04,1993,2,4
466,71,monthly issuance,1996-02-18,1996,2,18
467,74,monthly issuance,1993-09-24,1993,9,24
468,49,monthly issuance,1996-03-19,1996,3,19
469,72,monthly issuance,1997-07-14,1997,7,14
470,64,monthly issuance,1994-03-23,1994,3,23
471,47,monthly issuance,1995-06-07,1995,6,7
472,8,monthly issuance,1996-10-11,1996,10,11
473,73,monthly issuance,1996-10-20,1996,10,20
474,61,monthly issuance,1995-12-06,1995,12,6
475,3,monthly issuance,1997-05-11,1997,5,11
476,69,monthly issuance,1997-04-11,1997,4,11
477,1,monthly issuance,1993-01-25,1993,1,25
478,58,monthly issuance,1994-07-16,1994,7,16
479,1,monthly issuance,1995-11-05,1995,11,5
480,23,monthly issuance,1997-01-21,1997,1,21
481,72,monthly issuance,1996-04-23,1996,4,23
483,70,monthly issuance,1997-07-15,1997,7,15
484,1,monthly issuance,1995-01-20,1995,1,20
485,6,issuance after transaction,1993-01-04,1993,1,4
486,33,monthly issuance,1995-11-21,1995,11,21
487,40,monthly issuance,1995-11-14,1995,11,14
488,25,monthly issuance,1996-06-20,1996,6,20
489,16,monthly issuance,1993-05-17,1993,5,17
490,45,monthly issuance,1995-05-23,1995,5,23
491,44,monthly issuance,1996-05-12,1996,5,12
492,5,monthly issuance,1993-10-10,1993,10,10
493,26,monthly issuance,1994-04-05,1994,4,5
494,60,monthly issuance,1993-03-11,1993,3,11
496,69,monthly issuance,1993-02-26,1993,2,26
497,55,monthly issuance,1993-04-15,1993,4,15
498,1,monthly issuance,1993-11-21,1993,11,21
500,56,monthly issuance,1996-04-27,1996,4,27
501,13,monthly issuance,1995-10-21,1995,10,21
502,1,monthly issuance,1997-10-13,1997,10,13
503,1,monthly issuance,1996-08-08,1996,8,8
504,73,monthly issuance,1993-04-21,1993,4,21
505,64,monthly issuance,1996-12-16,1996,12,16
506,67,monthly issuance,1996-07-08,1996,7,8
507,52,monthly issuance,1996-06-17,1996,6,17
508,74,monthly issuance,1996-11-19,1996,11,19
509,36,monthly issuance,1997-08-14,1997,8,14
510,1,weekly issuance,1993-06-02,1993,6,2
511,14,monthly issuance,1996-11-10,1996,11,10
512,68,monthly issuance,1997-01-14,1997,1,14
513,58,monthly issuance,1996-11-21,1996,11,21
514,70,monthly issuance,1996-03-30,1996,3,30
515,57,monthly issuance,1995-02-09,1995,2,9
516,6,monthly issuance,1996-02-08,1996,2,8
517,76,monthly issuance,1993-09-22,1993,9,22
518,74,monthly issuance,1994-09-09,1994,9,9
519,24,monthly issuance,1993-11-12,1993,11,12
520,60,monthly issuance,1993-11-04,1993,11,4
521,9,monthly issuance,1995-10-08,1995,10,8
522,17,monthly issuance,1995-12-20,1995,12,20
523,1,monthly issuance,1993-08-11,1993,8,11
524,61,monthly issuance,1994-05-03,1994,5,3
525,70,monthly issuance,1996-03-20,1996,3,20
526,67,monthly issuance,1996-07-16,1996,7,16
528,17,monthly issuance,1996-12-30,1996,12,30
529,39,monthly issuance,1997-08-18,1997,8,18
530,54,monthly issuance,1996-11-19,1996,11,19
531,31,monthly issuance,1995-08-18,1995,8,18
532,26,monthly issuance,1995-09-02,1995,9,2
533,40,monthly issuance,1995-05-07,1995,5,7
534,1,monthly issuance,1997-05-26,1997,5,26
535,35,monthly issuance,1994-05-24,1994,5,24
536,14,monthly issuance,1996-10-13,1996,10,13
537,34,monthly issuance,1997-01-08,1997,1,8
538,70,monthly issuance,1994-06-07,1994,6,7
539,13,issuance after transaction,1993-02-16,1993,2,16
540,75,monthly issuance,1993-10-16,1993,10,16
541,61,monthly issuance,1993-08-12,1993,8,12
542,1,monthly issuance,1993-11-01,1993,11,1
543,64,monthly issuance,1994-05-03,1994,5,3
544,32,monthly issuance,1995-05-15,1995,5,15
545,54,monthly issuance,1993-11-24,1993,11,24
546,8,monthly issuance,1996-11-23,1996,11,23
547,24,monthly issuance,1997-07-27,1997,7,27
548,16,monthly issuance,1994-06-07,1994,6,7
549,5,monthly issuance,1996-11-27,1996,11,27
550,24,monthly issuance,1997-10-17,1997,10,17
551,77,monthly issuance,1993-05-07,1993,5,7
552,14,monthly issuance,1993-08-20,1993,8,20
553,26,monthly issuance,1995-06-06,1995,6,6
554,26,monthly issuance,1996-01-26,1996,1,26
555,24,monthly issuance,1993-05-15,1993,5,15
556,12,monthly issuance,1997-06-26,1997,6,26
557,1,monthly issuance,1995-11-26,1995,11,26
558,10,monthly issuance,1996-06-15,1996,6,15
559,46,monthly issuance,1993-03-05,1993,3,5
560,36,monthly issuance,1995-08-20,1995,8,20
561,11,monthly issuance,1996-12-12,1996,12,12
562,50,monthly issuance,1993-02-25,1993,2,25
563,53,monthly issuance,1993-07-27,1993,7,27
564,5,monthly issuance,1997-12-23,1997,12,23
565,39,monthly issuance,1995-11-25,1995,11,25
566,8,monthly issuance,1997-11-13,1997,11,13
567,15,monthly issuance,1996-06-19,1996,6,19
568,18,monthly issuance,1995-03-28,1995,3,28
569,76,monthly issuance,1996-10-01,1996,10,1
570,3,monthly issuance,1996-11-14,1996,11,14
571,72,monthly issuance,1996-07-16,1996,7,16
572,32,monthly issuance,1994-03-27,1994,3,27
573,1,weekly issuance,1996-07-11,1996,7,11
574,70,monthly issuance,1993-07-30,1993,7,30
575,38,monthly issuance,1994-04-26,1994,4,26
576,55,monthly issuance,1993-01-01,1993,1,1
577,29,monthly issuance,1994-09-20,1994,9,20
578,28,weekly issuance,1997-03-21,1997,3,21
579,1,monthly issuance,1997-12-16,1997,12,16
580,75,monthly issuance,1996-05-20,1996,5,20
581,26,monthly issuance,1996-10-13,1996,10,13
