id,city,region,num_inhab,num_municip_inhab_0_499,num_municip_inhab_500_1999,num_municip_inhab_2000_9999,num_municip_inhab_10000_,num_cities,perc_urban_inhab,avg_salary,perc_unemploy_95,perc_unemploy_96,enterp_per_1000,num_crimes_95,num_crimes_96,region_zone
42,Havlickuv Brod,Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,east
43,Hradec Kralove,Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,east
44,Chrudim,Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,east
45,Jicin,Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,east
46,Nachod,Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,east
47,Pardubice,Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,east
48,Rychnov nad Kneznou,Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,east
49,Semily,Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123,east
50,Svitavy,Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,east
51,Trutnov,Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,east
52,Usti nad Orlici,Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,east
53,Blansko,Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,south
54,Brno ,Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,south
55,Brno ,Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,south
56,Breclav,Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,south
57,Hodonin,Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,south
58,Jihlava,Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,south
59,Kromeriz,Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,south
60,Prostejov,Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,south
61,Trebic,Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,south
62,Uherske Hradiste,Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,south
63,Vyskov,Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,south
64,Zlin,Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,south
65,Znojmo,Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,south
66,Zdar nad Sazavou,Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,south
67,Bruntal,Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,north
68,Frydek ,Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,north
69,Jesenik,Moravia,42821,4,13,5,1,3,48.4,8173,,7.01,124,,1358,north
70,Karvina,Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,north
71,Novy Jicin,Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,north
72,Olomouc,Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,north
73,Opava,Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,north
74,Ostrava ,Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,north
75,Prerov,Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,north
76,Sumperk,Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,north
77,Vsetin,Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,north
