disp_id,client_id,account_id,type,district_id,sex,age,age_category,no. of inhabitants,ratio of urban inhabitants,average salary,crime_increase,unemployment_increase,crime_avg,unemployment_avg
26,26,20,OWNER,74,f,30,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
27,27,21,OWNER,54,f,33,25-40,387570,100.00,9897,-0.06,0.36,48.27,1.78
28,28,22,OWNER,1,m,54,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
29,29,23,OWNER,30,f,48,40-50,94812,81.80,9650,-1.91,0.29,30.53,3.52
30,30,24,OWNER,74,f,42,40-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
31,31,25,OWNER,68,m,37,25-40,228848,57.20,9893,1.15,0.63,25.15,4.40
32,32,26,OWNER,52,m,19,18-25,139012,61.90,8363,1.69,0.97,19.29,3.00
33,33,27,OWNER,73,f,51,25-50,182027,56.40,8746,0.43,0.41,24.14,3.54
36,36,29,OWNER,7,f,21,18-25,94725,63.40,9920,5.88,0.61,48.22,2.56
37,37,29,DISPONENT,7,m,29,25-40,94725,63.40,9920,5.88,0.61,48.22,2.56
38,38,30,OWNER,36,f,26,25-40,159617,85.20,9198,2.11,0.95,37.36,3.81
39,39,31,OWNER,68,m,31,25-40,228848,57.20,9893,1.15,0.63,25.15,4.40
40,40,32,OWNER,5,f,42,40-50,95616,51.40,9307,4.43,0.58,29.58,4.14
41,41,33,OWNER,22,m,31,25-40,58400,52.40,8620,0.48,0.15,18.89,1.18
42,42,34,OWNER,68,m,64,25-50,228848,57.20,9893,1.15,0.63,25.15,4.40
43,43,35,OWNER,75,m,79,>65,138032,64.60,8819,3.20,0.28,31.04,5.52
44,44,36,OWNER,38,f,22,18-25,85852,59.80,8965,1.97,1.15,31.89,7.66
45,45,37,OWNER,20,m,47,40-50,70646,58.40,8547,-0.30,0.99,21.98,3.15
46,46,38,OWNER,19,f,59,25-50,51428,52.70,8402,1.94,0.85,20.40,3.55
47,47,39,OWNER,76,m,65,25-50,127369,51.20,8369,-7.29,1.15,25.69,5.30
48,48,40,OWNER,16,m,59,25-50,93931,56.90,8427,0.42,0.42,20.16,1.33
49,49,41,OWNER,72,f,40,25-40,226122,62.60,8994,-2.05,0.99,41.75,4.29
50,50,42,OWNER,39,f,21,18-25,119895,89.90,10446,-1.70,2.06,40.41,8.37
51,51,43,OWNER,36,f,20,18-25,159617,85.20,9198,2.11,0.95,37.36,3.81
52,52,44,OWNER,32,m,75,>65,105058,81.00,9272,1.57,0.42,42.10,3.01
53,53,45,OWNER,64,m,22,18-25,197099,74.70,9624,-1.11,0.71,22.19,1.96
55,55,47,OWNER,45,f,51,25-50,77917,53.50,8390,0.54,0.61,26.96,2.58
56,56,48,OWNER,21,m,39,25-40,103347,67.00,9104,0.53,0.56,22.51,1.79
57,57,48,DISPONENT,21,f,38,25-40,103347,67.00,9104,0.53,0.56,22.51,1.79
58,58,49,OWNER,1,f,72,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
59,59,50,OWNER,1,m,42,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
60,60,51,OWNER,67,m,19,18-25,106054,63.10,8110,-1.56,0.78,29.81,6.16
61,61,52,OWNER,16,f,51,25-50,93931,56.90,8427,0.42,0.42,20.16,1.33
62,62,53,OWNER,77,m,67,>65,148545,53.50,8909,0.88,1.55,23.73,4.79
63,63,54,OWNER,4,m,40,25-40,149893,67.40,9753,4.32,0.41,37.15,4.84
64,64,55,OWNER,20,m,73,>65,70646,58.40,8547,-0.30,0.99,21.98,3.15
65,65,56,OWNER,50,f,56,25-50,102609,52.00,8187,0.11,0.62,20.74,5.14
66,66,57,OWNER,1,f,48,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
67,67,58,OWNER,29,f,67,>65,45714,55.60,8843,1.53,0.78,18.66,3.21
68,68,59,OWNER,43,m,53,25-50,161854,76.30,9425,-1.20,0.78,24.64,2.11
70,70,61,OWNER,70,m,74,>65,285387,89.90,10177,0.81,1.12,35.02,7.19
71,71,61,DISPONENT,70,f,72,>65,285387,89.90,10177,0.81,1.12,35.02,7.19
72,72,62,OWNER,47,m,76,>65,162580,72.80,9538,-4.11,0.30,35.33,1.66
73,73,63,OWNER,22,m,75,>65,58400,52.40,8620,0.48,0.15,18.89,1.18
74,74,63,DISPONENT,22,f,74,>65,58400,52.40,8620,0.48,0.15,18.89,1.18
75,75,64,OWNER,64,f,22,18-25,197099,74.70,9624,-1.11,0.71,22.19,1.96
76,76,65,OWNER,36,f,32,25-40,159617,85.20,9198,2.11,0.95,37.36,3.81
77,77,66,OWNER,1,f,43,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
78,78,67,OWNER,16,f,55,25-50,93931,56.90,8427,0.42,0.42,20.16,1.33
79,79,68,OWNER,37,f,30,25-40,114006,62.30,9065,0.17,0.93,36.46,4.92
80,80,69,OWNER,64,f,20,18-25,197099,74.70,9624,-1.11,0.71,22.19,1.96
81,81,70,OWNER,8,m,23,18-25,112065,69.40,11277,-1.71,0.19,45.36,1.34
82,82,70,DISPONENT,8,f,20,18-25,112065,69.40,11277,-1.71,0.19,45.36,1.34
83,83,71,OWNER,1,f,21,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
84,84,71,DISPONENT,1,m,20,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
85,85,72,OWNER,1,m,38,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
86,86,72,DISPONENT,1,f,30,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
87,87,73,OWNER,72,f,53,25-50,226122,62.60,8994,-2.05,0.99,41.75,4.29
89,89,75,OWNER,1,f,48,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
90,90,76,OWNER,52,m,24,18-25,139012,61.90,8363,1.69,0.97,19.29,3.00
91,91,77,OWNER,63,m,59,25-50,86513,50.50,8288,-1.18,0.73,17.47,4.15
92,92,78,OWNER,74,f,33,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
93,93,79,OWNER,3,m,74,>65,75232,41.70,8980,-0.15,0.26,37.46,2.08
94,94,80,OWNER,43,m,52,25-50,161854,76.30,9425,-1.20,0.78,24.64,2.11
95,95,80,DISPONENT,43,f,47,40-50,161854,76.30,9425,-1.20,0.78,24.64,2.11
96,96,81,OWNER,74,m,27,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
97,97,82,OWNER,26,m,34,25-40,170449,100.00,10787,1.29,0.45,36.09,2.87
98,98,83,OWNER,33,f,26,25-40,133777,84.70,8705,1.56,1.86,35.54,6.68
99,99,83,DISPONENT,33,m,26,25-40,133777,84.70,8705,1.56,1.86,35.54,6.68
100,100,84,OWNER,44,f,57,25-50,105606,53.00,8254,1.51,0.97,21.26,3.27
101,101,85,OWNER,68,m,56,25-50,228848,57.20,9893,1.15,0.63,25.15,4.40
102,102,86,OWNER,74,f,41,40-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
103,103,86,DISPONENT,74,m,44,40-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
105,105,88,OWNER,31,m,19,18-25,51313,59.20,8930,2.42,0.68,27.09,3.86
106,106,89,OWNER,68,f,31,25-40,228848,57.20,9893,1.15,0.63,25.15,4.40
107,107,90,OWNER,1,m,27,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
108,108,91,OWNER,17,m,36,25-40,74062,61.40,8114,2.40,0.24,14.74,2.50
110,110,93,OWNER,2,f,32,25-40,88884,46.70,8507,5.79,0.18,27.19,1.76
112,112,95,OWNER,1,m,64,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
113,113,95,DISPONENT,1,f,59,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
114,114,96,OWNER,74,f,30,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
115,115,96,DISPONENT,74,m,30,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
116,116,97,OWNER,74,m,57,25-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
117,117,97,DISPONENT,74,f,63,25-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
118,118,98,OWNER,55,m,77,>65,157042,33.90,8743,1.50,0.55,24.05,2.16
119,119,98,DISPONENT,55,f,77,>65,157042,33.90,8743,1.50,0.55,24.05,2.16
120,120,99,OWNER,1,m,23,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
121,121,100,OWNER,41,f,21,18-25,118650,85.60,9832,-8.21,1.16,50.21,3.90
122,122,101,OWNER,35,f,36,25-40,88768,80.50,8867,2.66,0.19,39.45,1.11
123,123,102,OWNER,11,m,30,25-40,75637,36.50,9622,0.71,0.14,46.30,0.52
124,124,103,OWNER,44,m,32,25-40,105606,53.00,8254,1.51,0.97,21.26,3.27
125,125,104,OWNER,37,m,63,25-50,114006,62.30,9065,0.17,0.93,36.46,4.92
126,126,104,DISPONENT,37,f,70,>65,114006,62.30,9065,0.17,0.93,36.46,4.92
127,127,105,OWNER,21,f,49,40-50,103347,67.00,9104,0.53,0.56,22.51,1.79
128,128,106,OWNER,63,f,26,25-40,86513,50.50,8288,-1.18,0.73,17.47,4.15
129,129,107,OWNER,64,f,52,25-50,197099,74.70,9624,-1.11,0.71,22.19,1.96
130,130,108,OWNER,53,m,57,25-50,107911,50.90,8240,0.49,1.03,17.39,3.04
131,131,109,OWNER,53,f,22,18-25,107911,50.90,8240,0.49,1.03,17.39,3.04
132,132,110,OWNER,36,m,46,40-50,159617,85.20,9198,2.11,0.95,37.36,3.81
134,134,112,OWNER,6,m,67,>65,77963,51.50,8546,6.16,1.07,36.94,3.48
135,135,112,DISPONENT,6,f,61,25-50,77963,51.50,8546,6.16,1.07,36.94,3.48
136,136,113,OWNER,55,f,78,>65,157042,33.90,8743,1.50,0.55,24.05,2.16
137,137,114,OWNER,60,m,76,>65,110643,51.90,8441,3.37,1.03,18.67,3.97
138,138,115,OWNER,54,f,27,25-40,387570,100.00,9897,-0.06,0.36,48.27,1.78
139,139,116,OWNER,8,f,40,25-40,112065,69.40,11277,-1.71,0.19,45.36,1.34
140,140,116,DISPONENT,8,m,38,25-40,112065,69.40,11277,-1.71,0.19,45.36,1.34
141,141,117,OWNER,31,m,74,>65,51313,59.20,8930,2.42,0.68,27.09,3.86
142,142,118,OWNER,68,m,62,25-50,228848,57.20,9893,1.15,0.63,25.15,4.40
143,143,119,OWNER,27,m,21,18-25,67298,43.80,8561,1.46,0.64,16.02,0.97
144,144,120,OWNER,65,m,41,40-50,114200,43.70,8403,4.91,-0.02,21.34,5.73
145,145,121,OWNER,55,m,21,18-25,157042,33.90,8743,1.50,0.55,24.05,2.16
146,146,122,OWNER,31,f,38,25-40,51313,59.20,8930,2.42,0.68,27.09,3.86
147,147,123,OWNER,21,f,66,>65,103347,67.00,9104,0.53,0.56,22.51,1.79
148,148,123,DISPONENT,21,m,59,25-50,103347,67.00,9104,0.53,0.56,22.51,1.79
149,149,124,OWNER,55,m,51,25-50,157042,33.90,8743,1.50,0.55,24.05,2.16
150,150,125,OWNER,2,f,19,18-25,88884,46.70,8507,5.79,0.18,27.19,1.76
151,151,126,OWNER,51,f,28,25-40,121947,70.50,8541,2.81,0.46,30.07,2.74
152,152,127,OWNER,29,f,54,25-50,45714,55.60,8843,1.53,0.78,18.66,3.21
153,153,128,OWNER,13,f,18,18-25,53921,41.30,8598,5.16,0.49,32.20,3.01
154,154,129,OWNER,74,m,66,>65,323870,100.00,10673,-1.34,0.69,57.32,5.10
155,155,129,DISPONENT,74,f,60,25-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
156,156,130,OWNER,54,f,69,>65,387570,100.00,9897,-0.06,0.36,48.27,1.78
157,157,131,OWNER,52,f,56,25-50,139012,61.90,8363,1.69,0.97,19.29,3.00
158,158,132,OWNER,40,f,54,25-50,128118,85.30,9317,-0.60,0.58,53.94,6.78
159,159,132,DISPONENT,40,m,61,25-50,128118,85.30,9317,-0.60,0.58,53.94,6.78
160,160,133,OWNER,64,f,57,25-50,197099,74.70,9624,-1.11,0.71,22.19,1.96
161,161,134,OWNER,34,f,56,25-50,125236,87.70,9675,-1.06,1.25,41.97,7.05
162,162,135,OWNER,65,m,58,25-50,114200,43.70,8403,4.91,-0.02,21.34,5.73
163,163,136,OWNER,74,m,66,>65,323870,100.00,10673,-1.34,0.69,57.32,5.10
164,164,137,OWNER,70,f,37,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
165,165,138,OWNER,22,m,31,25-40,58400,52.40,8620,0.48,0.15,18.89,1.18
166,166,138,DISPONENT,22,f,38,25-40,58400,52.40,8620,0.48,0.15,18.89,1.18
167,167,139,OWNER,38,f,21,18-25,85852,59.80,8965,1.97,1.15,31.89,7.66
168,168,140,OWNER,24,f,23,18-25,122603,80.00,8991,0.61,0.62,42.70,1.70
169,169,141,OWNER,38,m,46,40-50,85852,59.80,8965,1.97,1.15,31.89,7.66
170,170,141,DISPONENT,38,f,53,25-50,85852,59.80,8965,1.97,1.15,31.89,7.66
171,171,142,OWNER,51,m,70,>65,121947,70.50,8541,2.81,0.46,30.07,2.74
172,172,142,DISPONENT,51,f,64,25-50,121947,70.50,8541,2.81,0.46,30.07,2.74
173,173,143,OWNER,21,f,81,>65,103347,67.00,9104,0.53,0.56,22.51,1.79
174,174,144,OWNER,10,m,21,18-25,92084,46.70,10124,5.49,-0.02,44.12,0.55
175,175,145,OWNER,31,m,39,25-40,51313,59.20,8930,2.42,0.68,27.09,3.86
176,176,146,OWNER,4,m,70,>65,149893,67.40,9753,4.32,0.41,37.15,4.84
178,178,148,OWNER,8,m,39,25-40,112065,69.40,11277,-1.71,0.19,45.36,1.34
179,179,149,OWNER,43,m,19,18-25,161854,76.30,9425,-1.20,0.78,24.64,2.11
180,180,150,OWNER,73,m,17,-18,182027,56.40,8746,0.43,0.41,24.14,3.54
181,181,151,OWNER,76,m,32,25-40,127369,51.20,8369,-7.29,1.15,25.69,5.30
182,182,151,DISPONENT,76,f,40,25-40,127369,51.20,8369,-7.29,1.15,25.69,5.30
183,183,152,OWNER,1,f,21,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
184,184,152,DISPONENT,1,m,27,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
185,185,153,OWNER,77,m,45,40-50,148545,53.50,8909,0.88,1.55,23.73,4.79
186,186,154,OWNER,46,f,38,25-40,112709,73.50,8369,-2.09,0.52,24.27,2.05
187,187,155,OWNER,58,m,57,25-50,109164,63.60,8757,2.37,0.57,21.45,3.67
188,188,156,OWNER,64,m,39,25-40,197099,74.70,9624,-1.11,0.71,22.19,1.96
189,189,157,OWNER,11,m,80,>65,75637,36.50,9622,0.71,0.14,46.30,0.52
190,190,158,OWNER,37,f,52,25-50,114006,62.30,9065,0.17,0.93,36.46,4.92
191,191,158,DISPONENT,37,m,45,40-50,114006,62.30,9065,0.17,0.93,36.46,4.92
192,192,159,OWNER,70,m,28,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
193,193,160,OWNER,1,m,37,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
194,194,161,OWNER,28,f,75,>65,72541,36.90,8594,-0.76,0.39,21.40,1.81
195,195,162,OWNER,74,m,80,>65,323870,100.00,10673,-1.34,0.69,57.32,5.10
196,196,162,DISPONENT,74,f,72,>65,323870,100.00,10673,-1.34,0.69,57.32,5.10
197,197,163,OWNER,30,m,66,>65,94812,81.80,9650,-1.91,0.29,30.53,3.52
198,198,164,OWNER,60,m,23,18-25,110643,51.90,8441,3.37,1.03,18.67,3.97
199,199,165,OWNER,29,m,76,>65,45714,55.60,8843,1.53,0.78,18.66,3.21
200,200,165,DISPONENT,29,f,71,>65,45714,55.60,8843,1.53,0.78,18.66,3.21
201,201,166,OWNER,17,f,69,>65,74062,61.40,8114,2.40,0.24,14.74,2.50
202,202,167,OWNER,29,f,23,18-25,45714,55.60,8843,1.53,0.78,18.66,3.21
203,203,168,OWNER,31,m,37,25-40,51313,59.20,8930,2.42,0.68,27.09,3.86
204,204,168,DISPONENT,31,f,32,25-40,51313,59.20,8930,2.42,0.68,27.09,3.86
205,205,169,OWNER,4,f,57,25-50,149893,67.40,9753,4.32,0.41,37.15,4.84
206,206,170,OWNER,59,f,36,25-40,108871,62.10,8444,-2.66,0.23,22.50,3.36
207,207,171,OWNER,46,m,67,>65,112709,73.50,8369,-2.09,0.52,24.27,2.05
208,208,172,OWNER,13,f,59,25-50,53921,41.30,8598,5.16,0.49,32.20,3.01
209,209,172,DISPONENT,13,m,64,25-50,53921,41.30,8598,5.16,0.49,32.20,3.01
210,210,173,OWNER,66,m,60,25-50,125832,48.30,8512,-1.14,0.61,17.28,3.81
211,211,173,DISPONENT,66,f,54,25-50,125832,48.30,8512,-1.14,0.61,17.28,3.81
212,212,174,OWNER,52,m,24,18-25,139012,61.90,8363,1.69,0.97,19.29,3.00
215,215,176,OWNER,71,m,32,25-40,161227,69.70,8678,-2.39,-0.36,29.69,5.75
216,216,177,OWNER,1,m,39,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
217,217,178,OWNER,59,f,25,18-25,108871,62.10,8444,-2.66,0.23,22.50,3.36
218,218,179,OWNER,1,f,19,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
219,219,180,OWNER,60,f,35,25-40,110643,51.90,8441,3.37,1.03,18.67,3.97
221,221,181,OWNER,21,f,22,18-25,103347,67.00,9104,0.53,0.56,22.51,1.79
222,222,182,OWNER,47,f,27,25-40,162580,72.80,9538,-4.11,0.30,35.33,1.66
223,223,183,OWNER,43,f,47,40-50,161854,76.30,9425,-1.20,0.78,24.64,2.11
224,224,184,OWNER,77,m,44,40-50,148545,53.50,8909,0.88,1.55,23.73,4.79
225,225,185,OWNER,32,m,63,25-50,105058,81.00,9272,1.57,0.42,42.10,3.01
226,226,186,OWNER,1,m,57,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
227,227,187,OWNER,52,f,73,>65,139012,61.90,8363,1.69,0.97,19.29,3.00
228,228,188,OWNER,48,f,43,40-50,78955,59.00,9060,0.79,0.66,21.35,2.11
229,229,189,OWNER,76,m,30,25-40,127369,51.20,8369,-7.29,1.15,25.69,5.30
230,230,190,OWNER,74,f,32,25-40,323870,100.00,10673,-1.34,0.69,57.32,5.10
231,231,191,OWNER,41,m,58,25-50,118650,85.60,9832,-8.21,1.16,50.21,3.90
232,232,192,OWNER,55,f,78,>65,157042,33.90,8743,1.50,0.55,24.05,2.16
233,233,193,OWNER,69,f,41,40-50,42821,48.40,8173,0.00,0.00,31.71,7.01
234,234,193,DISPONENT,69,m,44,40-50,42821,48.40,8173,0.00,0.00,31.71,7.01
235,235,194,OWNER,44,f,56,25-50,105606,53.00,8254,1.51,0.97,21.26,3.27
236,236,195,OWNER,70,m,38,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
237,237,195,DISPONENT,70,f,30,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
238,238,196,OWNER,6,f,38,25-40,77963,51.50,8546,6.16,1.07,36.94,3.48
239,239,197,OWNER,1,f,25,18-25,1204953,100.00,12541,11.15,0.14,76.68,0.36
240,240,198,OWNER,34,f,70,>65,125236,87.70,9675,-1.06,1.25,41.97,7.05
241,241,199,OWNER,70,m,40,25-40,285387,89.90,10177,0.81,1.12,35.02,7.19
242,242,200,OWNER,17,f,38,25-40,74062,61.40,8114,2.40,0.24,14.74,2.50
243,243,201,OWNER,63,m,45,40-50,86513,50.50,8288,-1.18,0.73,17.47,4.15
246,246,204,OWNER,67,f,29,25-40,106054,63.10,8110,-1.56,0.78,29.81,6.16
247,247,205,OWNER,1,m,42,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
248,248,206,OWNER,61,f,30,25-40,117897,53.80,8814,-0.45,0.98,17.69,5.25
249,249,206,DISPONENT,61,m,29,25-40,117897,53.80,8814,-0.45,0.98,17.69,5.25
250,250,207,OWNER,8,f,20,18-25,112065,69.40,11277,-1.71,0.19,45.36,1.34
251,251,208,OWNER,54,f,23,18-25,387570,100.00,9897,-0.06,0.36,48.27,1.78
252,252,209,OWNER,37,f,30,25-40,114006,62.30,9065,0.17,0.93,36.46,4.92
253,253,210,OWNER,48,f,52,25-50,78955,59.00,9060,0.79,0.66,21.35,2.11
254,254,211,OWNER,28,m,36,25-40,72541,36.90,8594,-0.76,0.39,21.40,1.81
255,255,212,OWNER,27,f,48,40-50,67298,43.80,8561,1.46,0.64,16.02,0.97
256,256,213,OWNER,73,f,36,25-40,182027,56.40,8746,0.43,0.41,24.14,3.54
257,257,214,OWNER,22,f,57,25-50,58400,52.40,8620,0.48,0.15,18.89,1.18
258,258,214,DISPONENT,22,m,62,25-50,58400,52.40,8620,0.48,0.15,18.89,1.18
259,259,215,OWNER,31,m,33,25-40,51313,59.20,8930,2.42,0.68,27.09,3.86
260,260,215,DISPONENT,31,f,37,25-40,51313,59.20,8930,2.42,0.68,27.09,3.86
261,261,216,OWNER,38,f,62,25-50,85852,59.80,8965,1.97,1.15,31.89,7.66
262,262,217,OWNER,77,m,54,25-50,148545,53.50,8909,0.88,1.55,23.73,4.79
263,263,218,OWNER,68,m,37,25-40,228848,57.20,9893,1.15,0.63,25.15,4.40
264,264,219,OWNER,28,m,21,18-25,72541,36.90,8594,-0.76,0.39,21.40,1.81
265,265,220,OWNER,72,f,66,>65,226122,62.60,8994,-2.05,0.99,41.75,4.29
266,266,221,OWNER,19,f,32,25-40,51428,52.70,8402,1.94,0.85,20.40,3.55
267,267,222,OWNER,37,m,32,25-40,114006,62.30,9065,0.17,0.93,36.46,4.92
268,268,223,OWNER,39,f,17,-18,119895,89.90,10446,-1.70,2.06,40.41,8.37
269,269,224,OWNER,15,f,76,>65,58796,51.90,9045,0.58,0.47,31.67,3.37
270,270,225,OWNER,46,m,52,25-50,112709,73.50,8369,-2.09,0.52,24.27,2.05
271,271,225,DISPONENT,46,f,54,25-50,112709,73.50,8369,-2.09,0.52,24.27,2.05
272,272,226,OWNER,70,f,55,25-50,285387,89.90,10177,0.81,1.12,35.02,7.19
273,273,227,OWNER,27,f,27,25-40,67298,43.80,8561,1.46,0.64,16.02,0.97
274,274,228,OWNER,17,f,29,25-40,74062,61.40,8114,2.40,0.24,14.74,2.50
275,275,229,OWNER,1,f,81,>65,1204953,100.00,12541,11.15,0.14,76.68,0.36
276,276,230,OWNER,1,m,42,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
277,277,230,DISPONENT,1,f,38,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
278,278,231,OWNER,22,f,27,25-40,58400,52.40,8620,0.48,0.15,18.89,1.18
279,279,231,DISPONENT,22,m,29,25-40,58400,52.40,8620,0.48,0.15,18.89,1.18
280,280,232,OWNER,45,f,30,25-40,77917,53.50,8390,0.54,0.61,26.96,2.58
282,282,234,OWNER,73,f,61,25-50,182027,56.40,8746,0.43,0.41,24.14,3.54
283,283,234,DISPONENT,73,m,66,>65,182027,56.40,8746,0.43,0.41,24.14,3.54
284,284,235,OWNER,10,m,25,18-25,92084,46.70,10124,5.49,-0.02,44.12,0.55
285,285,236,OWNER,72,m,45,40-50,226122,62.60,8994,-2.05,0.99,41.75,4.29
286,286,236,DISPONENT,72,f,47,40-50,226122,62.60,8994,-2.05,0.99,41.75,4.29
287,287,237,OWNER,50,m,19,18-25,102609,52.00,8187,0.11,0.62,20.74,5.14
288,288,238,OWNER,6,m,37,25-40,77963,51.50,8546,6.16,1.07,36.94,3.48
289,289,239,OWNER,54,m,41,40-50,387570,100.00,9897,-0.06,0.36,48.27,1.78
290,290,240,OWNER,72,m,40,25-40,226122,62.60,8994,-2.05,0.99,41.75,4.29
291,291,240,DISPONENT,72,f,44,40-50,226122,62.60,8994,-2.05,0.99,41.75,4.29
292,292,241,OWNER,15,f,41,40-50,58796,51.90,9045,0.58,0.47,31.67,3.37
293,293,242,OWNER,69,m,56,25-50,42821,48.40,8173,0.00,0.00,31.71,7.01
294,294,243,OWNER,58,m,31,25-40,109164,63.60,8757,2.37,0.57,21.45,3.67
295,295,244,OWNER,12,m,60,25-50,107870,58.00,8754,0.59,0.48,35.56,4.07
296,296,245,OWNER,65,m,25,18-25,114200,43.70,8403,4.91,-0.02,21.34,5.73
297,297,246,OWNER,65,f,75,>65,114200,43.70,8403,4.91,-0.02,21.34,5.73
298,298,246,DISPONENT,65,m,78,>65,114200,43.70,8403,4.91,-0.02,21.34,5.73
300,300,248,OWNER,1,f,42,40-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
301,301,249,OWNER,28,m,57,25-50,72541,36.90,8594,-0.76,0.39,21.40,1.81
302,302,250,OWNER,56,m,28,25-40,124605,46.00,8772,2.44,0.29,24.12,4.84
303,303,251,OWNER,74,m,53,25-50,323870,100.00,10673,-1.34,0.69,57.32,5.10
304,304,252,OWNER,19,f,65,25-50,51428,52.70,8402,1.94,0.85,20.40,3.55
305,305,253,OWNER,46,m,61,25-50,112709,73.50,8369,-2.09,0.52,24.27,2.05
308,308,255,OWNER,68,f,23,18-25,228848,57.20,9893,1.15,0.63,25.15,4.40
309,309,256,OWNER,37,f,30,25-40,114006,62.30,9065,0.17,0.93,36.46,4.92
